master_seed,total_E_Q,avg_L,avg_N,total_exec_time,avg_exec_time
1011,1050355449207.3538,40.5,2.625,448.9059793949127,56.11324742436409
123,994255195317.6329,30.0,10.125,410.9867522716522,51.37334403395653
42,1077020828339.7952,45.75,16.75,753.6181817054749,94.20227271318436
456,1121842323980.2566,19.5,11.5,318.11473202705383,39.76434150338173
789,1186700163843.5374,48.0,2.375,527.2604117393494,65.90755146741867
