Node	Period	Operationalhour	Value
Germany	1	200	68882.89520710081
Germany	1	201	70031.68640402374
Germany	1	202	73678.53856431266
Germany	1	203	78068.27572941342
Germany	1	204	81212.52967744049
Germany	1	205	81619.28523086743
Germany	1	206	80654.26337965274
Germany	1	207	79023.04740747233
Germany	1	208	77143.21014573149
Germany	1	209	74997.99461887126
Germany	1	210	72624.02227578957
Germany	1	211	70905.86626080361
Germany	1	212	69827.04686838205
Germany	1	213	70395.00155903453
Germany	1	214	72278.86613834917
Germany	1	215	72859.06389809027
Germany	1	216	73315.79082401756
Germany	1	217	72343.75760768894
Germany	1	218	74277.56699319232
Germany	1	219	74536.46781126005
Germany	1	220	73862.19581314619
Germany	1	221	73445.52378535218
Germany	1	222	73155.47465744957
Germany	1	223	73242.71715616046
Germany	1	224	74791.3288033319
Germany	1	225	76278.06069372768
Germany	1	226	76958.21350968666
Germany	1	227	78532.58177323532
Germany	1	228	82194.59926868865
Germany	1	229	82909.32640627745
Germany	1	230	81296.79381937998
Germany	1	231	78465.95754934027
Germany	1	232	76035.98012580548
Germany	1	233	73968.55391384065
Germany	1	234	71094.48504295894
Germany	1	235	69738.39043902424
Germany	1	236	68941.65357724014
Germany	1	237	67989.2104941233
Germany	1	238	67459.0265340987
Germany	1	239	67489.17211358376
Germany	1	240	69702.43712017914
Denmark	1	1	5432.501403099776
Denmark	1	2	5467.013588569452
Denmark	1	3	5487.9835431262345
Denmark	1	4	5469.45448964592
Denmark	1	5	5455.3490752304915
Denmark	1	6	5463.349865100974
Denmark	1	7	5431.498899569773
Denmark	1	8	5418.220076195846
Denmark	1	9	5434.327862278186
Denmark	1	10	5455.62065248803
Denmark	1	11	5477.929913811233
Denmark	1	12	5527.023860996668
Denmark	1	13	5541.39531834415
Denmark	1	14	5504.550941762813
Denmark	1	15	5452.958773701285
Denmark	1	16	5414.144572557642
Denmark	1	17	5342.668231890863
Denmark	1	18	5305.867998143722
Denmark	1	19	5272.306135420937
Denmark	1	20	5267.047735595984
Denmark	1	21	5285.860884450995
Denmark	1	22	5335.314694562356
Denmark	1	23	5377.290313252236
Denmark	1	24	5394.742281578209
Denmark	1	25	5432.436440660201
Denmark	1	26	5469.710518084245
Denmark	1	27	5483.240626188946
Denmark	1	28	5462.934790689894
Denmark	1	29	5469.0363845327865
Denmark	1	30	5444.531445459795
Denmark	1	31	5407.490205014918
Denmark	1	32	5385.065249935232
Denmark	1	33	5384.4768984287275
Denmark	1	34	5384.226009006918
Denmark	1	35	5393.8624555963725
Denmark	1	36	5434.264349304806
Denmark	1	37	5458.726595009802
Denmark	1	38	5430.30717481618
Denmark	1	39	5383.076318773054
Denmark	1	40	5340.464384422503
Denmark	1	41	5283.915832583703
Denmark	1	42	5248.842571925965
Denmark	1	43	5228.827552053982
Denmark	1	44	5223.740452779633
Denmark	1	45	5243.0346926425345
Denmark	1	46	5297.524607172027
Denmark	1	47	5349.8094883062695
Denmark	1	48	5373.200842030678
Denmark	1	49	4744.995998892467
Denmark	1	50	4761.6659143201
Denmark	1	51	4793.482487971528
Denmark	1	52	4815.124204225986
Denmark	1	53	4835.728629761709
Denmark	1	54	4829.10456923947
Denmark	1	55	4810.528869301531
Denmark	1	56	4812.552324113139
Denmark	1	57	4813.018656919745
Denmark	1	58	4800.053972401694
Denmark	1	59	4767.994547277373
Denmark	1	60	4752.4046159364725
Denmark	1	61	4744.717174303941
Denmark	1	62	4719.985064346916
Denmark	1	63	4683.310143541025
Denmark	1	64	4673.894674661854
Denmark	1	65	4656.008261785615
Denmark	1	66	4651.004704472099
Denmark	1	67	4666.237803589123
Denmark	1	68	4653.35837403741
Denmark	1	69	4633.825235791242
Denmark	1	70	4621.283795402844
Denmark	1	71	4626.701768279164
Denmark	1	72	4623.984678007262
Denmark	1	73	4638.050166217434
Denmark	1	74	4661.638647344689
Denmark	1	75	4713.641014340093
Denmark	1	76	4743.62533094832
Denmark	1	77	4766.593835852038
Denmark	1	78	4763.007461170643
Denmark	1	79	4750.138704960935
Denmark	1	80	4763.8092795171315
Denmark	1	81	4759.229361642228
Denmark	1	82	4757.029730802807
Denmark	1	83	4744.024593000884
Denmark	1	84	4747.012601682049
Denmark	1	85	4741.598977204317
Denmark	1	86	4732.340973062047
Denmark	1	87	4690.782010019101
Denmark	1	88	4666.3372896781275
Denmark	1	89	4648.535472919959
Denmark	1	90	4641.313178167147
Denmark	1	91	4652.9560812827995
Denmark	1	92	4645.991659743475
Denmark	1	93	4634.696496745552
Denmark	1	94	4634.826421624703
Denmark	1	95	4636.061235055256
Denmark	1	96	4635.096417646387
