Node	Period	Season	Operationalhour	Scenario	HydroGeneratorMaxSeasonalProduction
Germany	1	spring	90	scenario1	114.3525
Germany	1	spring	91	scenario1	70.92
Germany	1	spring	92	scenario1	79.105
Germany	1	spring	93	scenario1	59.9575
Germany	1	spring	94	scenario1	87.605
Germany	1	spring	95	scenario1	50.435
Germany	1	spring	96	scenario1	64.065
France	1	spring	49	scenario1	1191.0
France	1	spring	50	scenario1	2070.0
France	1	spring	51	scenario1	2609.0
France	1	spring	52	scenario1	2529.0
France	1	spring	53	scenario1	2082.0
France	1	spring	54	scenario1	1754.0
France	1	spring	55	scenario1	1387.0
France	1	spring	56	scenario1	860.0
France	1	spring	57	scenario1	533.0
France	1	spring	58	scenario1	683.0
France	1	spring	59	scenario1	973.0
France	1	spring	60	scenario1	583.0
France	1	spring	61	scenario1	905.0
France	1	spring	62	scenario1	1455.0
France	1	spring	63	scenario1	2656.0
France	1	spring	64	scenario1	2921.0
France	1	spring	65	scenario1	2601.0
France	1	spring	66	scenario1	2305.0
France	1	spring	67	scenario1	1876.0
France	1	spring	68	scenario1	1828.0
France	1	spring	69	scenario1	1673.0
France	1	spring	70	scenario1	1584.0
France	1	spring	71	scenario1	1147.0
France	1	spring	72	scenario1	890.0
France	1	spring	73	scenario1	984.0
France	1	spring	74	scenario1	1552.0
France	1	spring	75	scenario1	1840.0
France	1	spring	76	scenario1	1283.0
France	1	spring	77	scenario1	1204.0
France	1	spring	78	scenario1	1065.0
France	1	spring	79	scenario1	673.0
France	1	spring	80	scenario1	630.0
France	1	spring	81	scenario1	518.0
France	1	spring	82	scenario1	597.0
France	1	spring	83	scenario1	543.0
France	1	spring	84	scenario1	478.0
France	1	spring	85	scenario1	596.0
France	1	spring	86	scenario1	1035.0
France	1	spring	87	scenario1	1271.0
France	1	spring	88	scenario1	1936.0
France	1	spring	89	scenario1	1977.0
France	1	spring	90	scenario1	2017.0
France	1	spring	91	scenario1	2087.0
France	1	spring	92	scenario1	1745.0
France	1	spring	93	scenario1	1897.0
France	1	spring	94	scenario1	1836.0
France	1	spring	95	scenario1	1472.0
France	1	spring	96	scenario1	1235.0
Germany	1	summer	97	scenario1	189.035
Germany	1	summer	98	scenario1	184.145
Germany	1	summer	99	scenario1	213.365
Germany	1	summer	100	scenario1	208.42
Germany	1	summer	101	scenario1	221.6325
Germany	1	summer	102	scenario1	209.9225
Germany	1	summer	103	scenario1	226.275
Germany	1	summer	104	scenario1	183.1025
Germany	1	summer	105	scenario1	238.3075
Germany	1	summer	106	scenario1	197.1775
Germany	1	summer	107	scenario1	256.645
Germany	1	summer	108	scenario1	326.0275
Germany	1	summer	109	scenario1	240.8725
Germany	1	summer	110	scenario1	157.9
Germany	1	summer	111	scenario1	194.2625
Germany	1	summer	112	scenario1	190.5475
Germany	1	summer	113	scenario1	185.29
Germany	1	summer	114	scenario1	173.7225
Germany	1	summer	115	scenario1	154.7625
Germany	1	summer	116	scenario1	82.235
Germany	1	summer	117	scenario1	138.685
Germany	1	summer	118	scenario1	138.6125
Germany	1	summer	119	scenario1	126.1275
Germany	1	summer	120	scenario1	100.795
Germany	1	summer	121	scenario1	82.085
Germany	1	summer	122	scenario1	121.8025
Germany	1	summer	123	scenario1	118.79
Germany	1	summer	124	scenario1	174.2525
Germany	1	summer	125	scenario1	121.6775
Germany	1	summer	126	scenario1	130.4025
Germany	1	summer	127	scenario1	95.4375
Germany	1	summer	128	scenario1	182.7425
Germany	1	summer	129	scenario1	198.355
Germany	1	summer	130	scenario1	227.7025
Germany	1	summer	131	scenario1	126.5025
Germany	1	summer	132	scenario1	110.3525
Germany	1	summer	133	scenario1	101.6625
Germany	1	summer	134	scenario1	152.0575
Germany	1	summer	135	scenario1	74.8625
Germany	1	summer	136	scenario1	155.4525
Germany	1	summer	137	scenario1	144.9175
Germany	1	summer	138	scenario1	94.9625
Germany	1	summer	139	scenario1	153.9375
Germany	1	summer	140	scenario1	139.5525
Germany	1	summer	141	scenario1	106.745
Germany	1	summer	142	scenario1	107.785
Germany	1	summer	143	scenario1	148.3575
Germany	1	summer	144	scenario1	245.955
France	1	summer	97	scenario1	697.0
France	1	summer	98	scenario1	820.0
France	1	summer	99	scenario1	949.0
France	1	summer	100	scenario1	1057.0
France	1	summer	101	scenario1	904.0
France	1	summer	102	scenario1	693.0
France	1	summer	103	scenario1	453.0
France	1	summer	104	scenario1	387.0
France	1	summer	105	scenario1	406.0
France	1	summer	106	scenario1	632.0
France	1	summer	107	scenario1	1174.0
France	1	summer	108	scenario1	1774.0
France	1	summer	109	scenario1	1601.0
France	1	summer	110	scenario1	1897.0
France	1	summer	111	scenario1	1551.0
France	1	summer	112	scenario1	1100.0
France	1	summer	113	scenario1	803.0
France	1	summer	114	scenario1	650.0
France	1	summer	115	scenario1	444.0
France	1	summer	116	scenario1	363.0
France	1	summer	117	scenario1	377.0
France	1	summer	118	scenario1	380.0
France	1	summer	119	scenario1	350.0
France	1	summer	120	scenario1	388.0
France	1	summer	121	scenario1	458.0
France	1	summer	122	scenario1	854.0
France	1	summer	123	scenario1	1137.0
France	1	summer	124	scenario1	1154.0
France	1	summer	125	scenario1	1254.0
France	1	summer	126	scenario1	1350.0
France	1	summer	127	scenario1	737.0
France	1	summer	128	scenario1	528.0
France	1	summer	129	scenario1	480.0
France	1	summer	130	scenario1	600.0
France	1	summer	131	scenario1	1312.0
France	1	summer	132	scenario1	1869.0
France	1	summer	133	scenario1	1900.0
France	1	summer	134	scenario1	2013.0
France	1	summer	135	scenario1	1898.0
France	1	summer	136	scenario1	1055.0
France	1	summer	137	scenario1	864.0
France	1	summer	138	scenario1	798.0
France	1	summer	139	scenario1	694.0
France	1	summer	140	scenario1	597.0
France	1	summer	141	scenario1	556.0
France	1	summer	142	scenario1	745.0
France	1	summer	143	scenario1	1162.0
France	1	summer	144	scenario1	1713.0
Germany	1	fall	145	scenario1	70.03
Germany	1	fall	146	scenario1	57.35
Germany	1	fall	147	scenario1	49.61
Germany	1	fall	148	scenario1	58.55
Germany	1	fall	149	scenario1	86.7925
Germany	1	fall	150	scenario1	51.2175
Germany	1	fall	151	scenario1	79.3125
Germany	1	fall	152	scenario1	46.3525
Germany	1	fall	153	scenario1	67.275
Germany	1	fall	154	scenario1	109.0525
Germany	1	fall	155	scenario1	98.205
Germany	1	fall	156	scenario1	83.6875
Germany	1	fall	157	scenario1	39.7325
Germany	1	fall	158	scenario1	61.405
Germany	1	fall	159	scenario1	80.58
Germany	1	fall	160	scenario1	126.2425
Germany	1	fall	161	scenario1	89.0975
Germany	1	fall	162	scenario1	91.9575
Germany	1	fall	163	scenario1	125.3825
Germany	1	fall	164	scenario1	174.29
Germany	1	fall	165	scenario1	160.145
Germany	1	fall	166	scenario1	182.0075
Germany	1	fall	167	scenario1	168.5325
Germany	1	fall	168	scenario1	161.3375
Germany	1	fall	169	scenario1	109.2975
Germany	1	fall	170	scenario1	85.6125
Germany	1	fall	171	scenario1	102.8575
Germany	1	fall	172	scenario1	75.86
Germany	1	fall	173	scenario1	78.1925
Germany	1	fall	174	scenario1	64.0525
Germany	1	fall	175	scenario1	72.1075
Germany	1	fall	176	scenario1	80.115
Germany	1	fall	177	scenario1	68.405
Germany	1	fall	178	scenario1	66.4025
Germany	1	fall	179	scenario1	68.85
Germany	1	fall	180	scenario1	71.9475
Germany	1	fall	181	scenario1	108.925
Germany	1	fall	182	scenario1	118.8075
Germany	1	fall	183	scenario1	114.94
Germany	1	fall	184	scenario1	99.1925
Germany	1	fall	185	scenario1	81.935
Germany	1	fall	186	scenario1	120.675
Germany	1	fall	187	scenario1	119.3625
Germany	1	fall	188	scenario1	115.6925
Germany	1	fall	189	scenario1	56.0575
Germany	1	fall	190	scenario1	97.2875
Germany	1	fall	191	scenario1	62.455
Germany	1	fall	192	scenario1	65.7525
France	1	fall	145	scenario1	2996.0
France	1	fall	146	scenario1	2622.0
France	1	fall	147	scenario1	2906.0
France	1	fall	148	scenario1	2527.0
France	1	fall	149	scenario1	2318.0
France	1	fall	150	scenario1	2659.0
France	1	fall	151	scenario1	3357.0
France	1	fall	152	scenario1	4072.0
France	1	fall	153	scenario1	2665.0
France	1	fall	154	scenario1	2014.0
France	1	fall	155	scenario1	1732.0
France	1	fall	156	scenario1	1780.0
France	1	fall	157	scenario1	1989.0
France	1	fall	158	scenario1	779.0
France	1	fall	159	scenario1	383.0
France	1	fall	160	scenario1	292.0
France	1	fall	161	scenario1	182.0
France	1	fall	162	scenario1	326.0
France	1	fall	163	scenario1	1367.0
France	1	fall	164	scenario1	2094.0
France	1	fall	165	scenario1	2796.0
France	1	fall	166	scenario1	3108.0
France	1	fall	167	scenario1	2744.0
France	1	fall	168	scenario1	2406.0
France	1	fall	169	scenario1	1864.0
France	1	fall	170	scenario1	1606.0
France	1	fall	171	scenario1	1516.0
France	1	fall	172	scenario1	1354.0
France	1	fall	173	scenario1	1127.0
France	1	fall	174	scenario1	1416.0
France	1	fall	175	scenario1	2017.0
France	1	fall	176	scenario1	3253.0
France	1	fall	177	scenario1	2183.0
France	1	fall	178	scenario1	1911.0
France	1	fall	179	scenario1	1885.0
France	1	fall	180	scenario1	1415.0
France	1	fall	181	scenario1	787.0
France	1	fall	182	scenario1	327.0
France	1	fall	183	scenario1	203.0
France	1	fall	184	scenario1	110.0
France	1	fall	185	scenario1	45.0
France	1	fall	186	scenario1	109.0
France	1	fall	187	scenario1	253.0
France	1	fall	188	scenario1	500.0
France	1	fall	189	scenario1	1010.0
France	1	fall	190	scenario1	1228.0
France	1	fall	191	scenario1	1151.0
France	1	fall	192	scenario1	951.0
Germany	1	peak1	193	scenario1	28.9775
Germany	1	peak1	194	scenario1	29.685
Germany	1	peak1	195	scenario1	32.8875
Germany	1	peak1	196	scenario1	28.7575
Germany	1	peak1	197	scenario1	23.55
Germany	1	peak1	198	scenario1	24.175
Germany	1	peak1	199	scenario1	20.415
Germany	1	peak2	200	scenario1	28.9775
Germany	1	peak2	201	scenario1	29.685
Germany	1	peak2	202	scenario1	32.8875
Germany	1	peak2	203	scenario1	28.7575
Germany	1	peak2	204	scenario1	23.55
Germany	1	peak2	205	scenario1	24.175
Germany	1	peak2	206	scenario1	20.415
France	1	peak1	193	scenario1	2552.0
France	1	peak1	194	scenario1	3148.0
France	1	peak1	195	scenario1	4270.0
France	1	peak1	196	scenario1	5220.0
France	1	peak1	197	scenario1	5506.0
France	1	peak1	198	scenario1	5380.0
France	1	peak1	199	scenario1	5169.0
France	1	peak2	200	scenario1	2552.0
France	1	peak2	201	scenario1	3148.0
France	1	peak2	202	scenario1	4270.0
France	1	peak2	203	scenario1	5220.0
France	1	peak2	204	scenario1	5506.0
