Node	Operationalhour	Scenario	Period	ElectricLoadRaw_in_MW
Germany	59	scenario1	1	43536.8175
Germany	60	scenario1	1	44802.6775
Germany	61	scenario1	1	48145.09
Germany	62	scenario1	1	55823.7475
Germany	63	scenario1	1	62045.3675
Germany	64	scenario1	1	65291.9725
Germany	65	scenario1	1	65965.6
Germany	66	scenario1	1	67028.1225
Germany	67	scenario1	1	68404.0125
Germany	68	scenario1	1	67899.1725
Germany	69	scenario1	1	67228.7525
Germany	70	scenario1	1	66023.2
Germany	71	scenario1	1	64938.5975
Germany	72	scenario1	1	63378.9675
Germany	73	scenario1	1	62998.6325
Germany	74	scenario1	1	62744.115
Germany	75	scenario1	1	62239.2675
Germany	76	scenario1	1	59788.515
Germany	77	scenario1	1	58034.33
Germany	78	scenario1	1	55734.775
Germany	79	scenario1	1	51321.75
Germany	80	scenario1	1	47493.8475
Germany	81	scenario1	1	45804.165
Germany	82	scenario1	1	45040.1125
Germany	83	scenario1	1	44863.8925
Germany	84	scenario1	1	45585.3525
Germany	85	scenario1	1	48239.785
Germany	86	scenario1	1	56041.61
Germany	87	scenario1	1	62686.77
Germany	88	scenario1	1	65880.84
Germany	89	scenario1	1	66647.4
Germany	90	scenario1	1	68031.3425
Germany	91	scenario1	1	69512.0375
Germany	92	scenario1	1	69131.245
Germany	93	scenario1	1	67966.33
Germany	94	scenario1	1	66650.3525
Germany	95	scenario1	1	64707.985
Germany	96	scenario1	1	63297.01
Denmark	49	scenario1	1	4366.11
Denmark	50	scenario1	1	4239.44
Denmark	51	scenario1	1	4007.82
Denmark	52	scenario1	1	3806.54
Denmark	53	scenario1	1	3673.2
Denmark	54	scenario1	1	3453.06
Denmark	55	scenario1	1	3102.0
Denmark	56	scenario1	1	2893.04
Denmark	57	scenario1	1	2779.73
Denmark	58	scenario1	1	2706.08
Denmark	59	scenario1	1	2720.35
Denmark	60	scenario1	1	2755.21
Denmark	61	scenario1	1	2919.9
Denmark	62	scenario1	1	3472.24
Denmark	63	scenario1	1	4047.59
Denmark	64	scenario1	1	4303.25
Denmark	65	scenario1	1	4367.72
Denmark	66	scenario1	1	4457.44
Denmark	67	scenario1	1	4424.4
Denmark	68	scenario1	1	4336.65
Denmark	69	scenario1	1	4374.82
Denmark	70	scenario1	1	4325.5
Denmark	71	scenario1	1	4184.12
Denmark	72	scenario1	1	4116.45
Denmark	73	scenario1	1	4309.4
Denmark	74	scenario1	1	4159.42
Denmark	75	scenario1	1	3922.44
Denmark	76	scenario1	1	3695.39
Denmark	77	scenario1	1	3612.69
Denmark	78	scenario1	1	3466.31
Denmark	79	scenario1	1	3086.61
Denmark	80	scenario1	1	2836.19
Denmark	81	scenario1	1	2666.22
Denmark	82	scenario1	1	2634.2
Denmark	83	scenario1	1	2685.66
Denmark	84	scenario1	1	2697.54
Denmark	85	scenario1	1	2830.66
Denmark	86	scenario1	1	3355.48
Denmark	87	scenario1	1	3944.96
Denmark	88	scenario1	1	4150.32
Denmark	89	scenario1	1	4247.29
Denmark	90	scenario1	1	4310.38
Denmark	91	scenario1	1	3953.19
Denmark	92	scenario1	1	3721.24
Denmark	93	scenario1	1	3816.32
Denmark	94	scenario1	1	4129.09
Denmark	95	scenario1	1	4092.88
Denmark	96	scenario1	1	4123.3
France	49	scenario1	1	48715.0
France	50	scenario1	1	49492.0
France	51	scenario1	1	49814.0
France	52	scenario1	1	47524.0
France	53	scenario1	1	46892.0
France	54	scenario1	1	48527.0
France	55	scenario1	1	49315.0
France	56	scenario1	1	45349.0
France	57	scenario1	1	42127.0
France	58	scenario1	1	40316.0
France	59	scenario1	1	37747.0
France	60	scenario1	1	37009.0
France	61	scenario1	1	38463.0
France	62	scenario1	1	41890.0
France	63	scenario1	1	46654.0
France	64	scenario1	1	49717.0
France	65	scenario1	1	51383.0
France	66	scenario1	1	52235.0
France	67	scenario1	1	53058.0
France	68	scenario1	1	53853.0
France	69	scenario1	1	53086.0
France	70	scenario1	1	52915.0
France	71	scenario1	1	51381.0
France	72	scenario1	1	50021.0
France	73	scenario1	1	48910.0
France	74	scenario1	1	49670.0
France	75	scenario1	1	49995.0
France	76	scenario1	1	47524.0
France	77	scenario1	1	46568.0
France	78	scenario1	1	48023.0
France	79	scenario1	1	49014.0
France	80	scenario1	1	45259.0
France	81	scenario1	1	42107.0
France	82	scenario1	1	40460.0
France	83	scenario1	1	38059.0
France	84	scenario1	1	37109.0
France	85	scenario1	1	38728.0
France	86	scenario1	1	42384.0
France	87	scenario1	1	47556.0
France	88	scenario1	1	50653.0
France	89	scenario1	1	52173.0
France	90	scenario1	1	53346.0
France	91	scenario1	1	54118.0
France	92	scenario1	1	54557.0
France	93	scenario1	1	53594.0
France	94	scenario1	1	53070.0
France	95	scenario1	1	51586.0
France	96	scenario1	1	50202.0
Germany	97	scenario1	1	48201.0675
Germany	98	scenario1	1	50668.4725
Germany	99	scenario1	1	52231.2075
Germany	100	scenario1	1	53288.2425
Germany	101	scenario1	1	52943.035
Germany	102	scenario1	1	50865.68
Germany	103	scenario1	1	48819.97
Germany	104	scenario1	1	47948.47
Germany	105	scenario1	1	47855.4075
Germany	106	scenario1	1	49188.4625
Germany	107	scenario1	1	49921.1725
Germany	108	scenario1	1	50046.3
Germany	109	scenario1	1	49694.2625
Germany	110	scenario1	1	46746.325
Germany	111	scenario1	1	44268.465
Germany	112	scenario1	1	41188.3325
Germany	113	scenario1	1	38574.65
Germany	114	scenario1	1	36943.01
Germany	115	scenario1	1	35941.6825
Germany	116	scenario1	1	35574.7275
Germany	117	scenario1	1	35532.145
Germany	118	scenario1	1	35547.745
Germany	119	scenario1	1	36777.185
Germany	120	scenario1	1	38222.2725
Germany	121	scenario1	1	41652.4075
Germany	122	scenario1	1	44773.5625
Germany	123	scenario1	1	47084.83
Germany	124	scenario1	1	49294.9425
Germany	125	scenario1	1	48766.56
Germany	126	scenario1	1	46946.8475
Germany	127	scenario1	1	45811.235
Germany	128	scenario1	1	45574.4725
Germany	129	scenario1	1	45423.5075
Germany	130	scenario1	1	46528.285
Germany	131	scenario1	1	47877.415
Germany	132	scenario1	1	48070.645
Germany	133	scenario1	1	48495.7375
Germany	134	scenario1	1	46525.62
Germany	135	scenario1	1	44963.74
Germany	136	scenario1	1	42327.4125
Germany	137	scenario1	1	39793.8675
Germany	138	scenario1	1	38406.555
Germany	139	scenario1	1	37619.4225
Germany	140	scenario1	1	37884.9
Germany	141	scenario1	1	39349.6975
Germany	142	scenario1	1	44325.6225
Germany	143	scenario1	1	53749.4275
Germany	144	scenario1	1	59329.3325
Denmark	97	scenario1	1	3324.62
Denmark	98	scenario1	1	3533.41
Denmark	99	scenario1	1	3598.61
Denmark	100	scenario1	1	3606.19
Denmark	101	scenario1	1	3575.29
Denmark	102	scenario1	1	3554.73
Denmark	103	scenario1	1	3484.83
Denmark	104	scenario1	1	3448.49
Denmark	105	scenario1	1	3485.88
Denmark	106	scenario1	1	3653.08
Denmark	107	scenario1	1	3615.1
Denmark	108	scenario1	1	3412.52
Denmark	109	scenario1	1	3414.46
Denmark	110	scenario1	1	3275.28
Denmark	111	scenario1	1	3105.7
Denmark	112	scenario1	1	2912.89
Denmark	113	scenario1	1	2732.78
Denmark	114	scenario1	1	2646.39
Denmark	115	scenario1	1	2587.11
Denmark	116	scenario1	1	2572.87
Denmark	117	scenario1	1	2584.98
Denmark	118	scenario1	1	2644.33
Denmark	119	scenario1	1	2742.32
Denmark	120	scenario1	1	2961.96
Denmark	121	scenario1	1	3268.7
Denmark	122	scenario1	1	3445.74
Denmark	123	scenario1	1	3565.21
Denmark	124	scenario1	1	3606.94
Denmark	125	scenario1	1	3576.89
Denmark	126	scenario1	1	3562.16
Denmark	127	scenario1	1	3557.49
Denmark	128	scenario1	1	3567.25
Denmark	129	scenario1	1	3640.28
Denmark	130	scenario1	1	3942.91
Denmark	131	scenario1	1	3903.61
Denmark	132	scenario1	1	3654.8
Denmark	133	scenario1	1	3595.28
Denmark	134	scenario1	1	3379.06
Denmark	135	scenario1	1	3151.07
Denmark	136	scenario1	1	2911.05
Denmark	137	scenario1	1	2769.08
Denmark	138	scenario1	1	2680.68
Denmark	139	scenario1	1	2681.34
Denmark	140	scenario1	1	2710.26
Denmark	141	scenario1	1	2796.51
