Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
France	Solar	37	scenario1	1	0.129
France	Solar	38	scenario1	1	0.24
France	Solar	39	scenario1	1	0.315
France	Solar	40	scenario1	1	0.341
France	Solar	41	scenario1	1	0.334
France	Solar	42	scenario1	1	0.282
France	Solar	43	scenario1	1	0.197
France	Solar	44	scenario1	1	0.094
France	Solar	45	scenario1	1	0.012
France	Solar	46	scenario1	1	0.0
France	Solar	47	scenario1	1	0.0
France	Solar	48	scenario1	1	0.0
Germany	Windonshore	1	scenario1	1	0.1013
Germany	Windonshore	2	scenario1	1	0.0928
Germany	Windonshore	3	scenario1	1	0.0838
Germany	Windonshore	4	scenario1	1	0.0718
Germany	Windonshore	5	scenario1	1	0.0639
Germany	Windonshore	6	scenario1	1	0.0583
Germany	Windonshore	7	scenario1	1	0.0533
Germany	Windonshore	8	scenario1	1	0.0464
Germany	Windonshore	9	scenario1	1	0.0409
Germany	Windonshore	10	scenario1	1	0.0355
Germany	Windonshore	11	scenario1	1	0.0326
Germany	Windonshore	12	scenario1	1	0.0316
Germany	Windonshore	13	scenario1	1	0.0356
Germany	Windonshore	14	scenario1	1	0.0378
Germany	Windonshore	15	scenario1	1	0.0379
Germany	Windonshore	16	scenario1	1	0.0361
Germany	Windonshore	17	scenario1	1	0.0326
Germany	Windonshore	18	scenario1	1	0.0293
Germany	Windonshore	19	scenario1	1	0.0262
Germany	Windonshore	20	scenario1	1	0.0334
Germany	Windonshore	21	scenario1	1	0.0562
Germany	Windonshore	22	scenario1	1	0.0693
Germany	Windonshore	23	scenario1	1	0.0671
Germany	Windonshore	24	scenario1	1	0.0594
Germany	Windonshore	25	scenario1	1	0.0512
Germany	Windonshore	26	scenario1	1	0.0444
Germany	Windonshore	27	scenario1	1	0.0372
Germany	Windonshore	28	scenario1	1	0.0323
Germany	Windonshore	29	scenario1	1	0.0295
Germany	Windonshore	30	scenario1	1	0.0281
Germany	Windonshore	31	scenario1	1	0.0264
Germany	Windonshore	32	scenario1	1	0.0248
Germany	Windonshore	33	scenario1	1	0.0226
Germany	Windonshore	34	scenario1	1	0.0208
Germany	Windonshore	35	scenario1	1	0.0196
Germany	Windonshore	36	scenario1	1	0.0163
Germany	Windonshore	37	scenario1	1	0.0127
Germany	Windonshore	38	scenario1	1	0.0147
Germany	Windonshore	39	scenario1	1	0.014
Germany	Windonshore	40	scenario1	1	0.0132
Germany	Windonshore	41	scenario1	1	0.0147
Germany	Windonshore	42	scenario1	1	0.0185
Germany	Windonshore	43	scenario1	1	0.0252
Germany	Windonshore	44	scenario1	1	0.0438
Germany	Windonshore	45	scenario1	1	0.0688
Germany	Windonshore	46	scenario1	1	0.077
Germany	Windonshore	47	scenario1	1	0.0699
Germany	Windonshore	48	scenario1	1	0.0573
Denmark	Windonshore	1	scenario1	1	0.0047
Denmark	Windonshore	2	scenario1	1	0.0035
Denmark	Windonshore	3	scenario1	1	0.0027
Denmark	Windonshore	4	scenario1	1	0.0022
Denmark	Windonshore	5	scenario1	1	0.002
Denmark	Windonshore	6	scenario1	1	0.0023
Denmark	Windonshore	7	scenario1	1	0.0032
Denmark	Windonshore	8	scenario1	1	0.004
Denmark	Windonshore	9	scenario1	1	0.004
Denmark	Windonshore	10	scenario1	1	0.0033
Denmark	Windonshore	11	scenario1	1	0.003
Denmark	Windonshore	12	scenario1	1	0.0051
Denmark	Windonshore	13	scenario1	1	0.0095
Denmark	Windonshore	14	scenario1	1	0.0122
Denmark	Windonshore	15	scenario1	1	0.0151
Denmark	Windonshore	16	scenario1	1	0.0162
Denmark	Windonshore	17	scenario1	1	0.0142
Denmark	Windonshore	18	scenario1	1	0.0109
Denmark	Windonshore	19	scenario1	1	0.0089
Denmark	Windonshore	20	scenario1	1	0.0116
Denmark	Windonshore	21	scenario1	1	0.0192
Denmark	Windonshore	22	scenario1	1	0.031
Denmark	Windonshore	23	scenario1	1	0.0474
Denmark	Windonshore	24	scenario1	1	0.0671
Denmark	Windonshore	25	scenario1	1	0.088
Denmark	Windonshore	26	scenario1	1	0.0988
Denmark	Windonshore	27	scenario1	1	0.1029
Denmark	Windonshore	28	scenario1	1	0.1074
Denmark	Windonshore	29	scenario1	1	0.1092
Denmark	Windonshore	30	scenario1	1	0.1075
Denmark	Windonshore	31	scenario1	1	0.1059
Denmark	Windonshore	32	scenario1	1	0.1067
Denmark	Windonshore	33	scenario1	1	0.1102
Denmark	Windonshore	34	scenario1	1	0.1142
Denmark	Windonshore	35	scenario1	1	0.1172
Denmark	Windonshore	36	scenario1	1	0.1223
Denmark	Windonshore	37	scenario1	1	0.1242
Denmark	Windonshore	38	scenario1	1	0.1233
Denmark	Windonshore	39	scenario1	1	0.1284
Denmark	Windonshore	40	scenario1	1	0.1393
Denmark	Windonshore	41	scenario1	1	0.1531
Denmark	Windonshore	42	scenario1	1	0.1742
Denmark	Windonshore	43	scenario1	1	0.1935
Denmark	Windonshore	44	scenario1	1	0.1982
Denmark	Windonshore	45	scenario1	1	0.1944
Denmark	Windonshore	46	scenario1	1	0.1884
Denmark	Windonshore	47	scenario1	1	0.1804
Denmark	Windonshore	48	scenario1	1	0.1759
France	Windonshore	1	scenario1	1	0.2748
France	Windonshore	2	scenario1	1	0.262
France	Windonshore	3	scenario1	1	0.2495
France	Windonshore	4	scenario1	1	0.2319
France	Windonshore	5	scenario1	1	0.2131
France	Windonshore	6	scenario1	1	0.1976
France	Windonshore	7	scenario1	1	0.1864
France	Windonshore	8	scenario1	1	0.1736
France	Windonshore	9	scenario1	1	0.17
France	Windonshore	10	scenario1	1	0.172
France	Windonshore	11	scenario1	1	0.1767
France	Windonshore	12	scenario1	1	0.178
France	Windonshore	13	scenario1	1	0.1776
France	Windonshore	14	scenario1	1	0.1825
France	Windonshore	15	scenario1	1	0.2066
France	Windonshore	16	scenario1	1	0.2139
France	Windonshore	17	scenario1	1	0.2152
France	Windonshore	18	scenario1	1	0.2166
France	Windonshore	19	scenario1	1	0.2149
France	Windonshore	20	scenario1	1	0.1976
France	Windonshore	21	scenario1	1	0.2091
France	Windonshore	22	scenario1	1	0.2333
France	Windonshore	23	scenario1	1	0.2362
France	Windonshore	24	scenario1	1	0.2365
France	Windonshore	25	scenario1	1	0.2329
France	Windonshore	26	scenario1	1	0.2267
France	Windonshore	27	scenario1	1	0.2188
France	Windonshore	28	scenario1	1	0.2164
France	Windonshore	29	scenario1	1	0.22
France	Windonshore	30	scenario1	1	0.2225
France	Windonshore	31	scenario1	1	0.2278
France	Windonshore	32	scenario1	1	0.2245
France	Windonshore	33	scenario1	1	0.2202
France	Windonshore	34	scenario1	1	0.2248
France	Windonshore	35	scenario1	1	0.217
France	Windonshore	36	scenario1	1	0.2115
France	Windonshore	37	scenario1	1	0.2091
France	Windonshore	38	scenario1	1	0.2131
France	Windonshore	39	scenario1	1	0.2285
France	Windonshore	40	scenario1	1	0.228
France	Windonshore	41	scenario1	1	0.2236
France	Windonshore	42	scenario1	1	0.2195
France	Windonshore	43	scenario1	1	0.2138
France	Windonshore	44	scenario1	1	0.1874
France	Windonshore	45	scenario1	1	0.1835
France	Windonshore	46	scenario1	1	0.202
France	Windonshore	47	scenario1	1	0.2014
France	Windonshore	48	scenario1	1	0.1848
Germany	Windoffshore	1	scenario1	1	0.06
Germany	Windoffshore	2	scenario1	1	0.0546
Germany	Windoffshore	3	scenario1	1	0.0458
Germany	Windoffshore	4	scenario1	1	0.034
Germany	Windoffshore	5	scenario1	1	0.0226
Germany	Windoffshore	6	scenario1	1	0.0145
Germany	Windoffshore	7	scenario1	1	0.0081
Germany	Windoffshore	8	scenario1	1	0.0036
Germany	Windoffshore	9	scenario1	1	0.002
Germany	Windoffshore	10	scenario1	1	0.0018
Germany	Windoffshore	11	scenario1	1	0.0013
Germany	Windoffshore	12	scenario1	1	0.0
Germany	Windoffshore	13	scenario1	1	0.0
Germany	Windoffshore	14	scenario1	1	0.0
Germany	Windoffshore	15	scenario1	1	0.0
Germany	Windoffshore	16	scenario1	1	0.0
Germany	Windoffshore	17	scenario1	1	0.0
Germany	Windoffshore	18	scenario1	1	0.0
Germany	Windoffshore	19	scenario1	1	0.0
Germany	Windoffshore	20	scenario1	1	0.0
Germany	Windoffshore	21	scenario1	1	0.0
Germany	Windoffshore	22	scenario1	1	0.0
Germany	Windoffshore	23	scenario1	1	0.0
Germany	Windoffshore	24	scenario1	1	0.0
Germany	Windoffshore	25	scenario1	1	0.0
Germany	Windoffshore	26	scenario1	1	0.0024
Germany	Windoffshore	27	scenario1	1	0.0034
Germany	Windoffshore	28	scenario1	1	0.0047
Germany	Windoffshore	29	scenario1	1	0.0058
Germany	Windoffshore	30	scenario1	1	0.0068
Germany	Windoffshore	31	scenario1	1	0.007
Germany	Windoffshore	32	scenario1	1	0.0068
Germany	Windoffshore	33	scenario1	1	0.0067
Germany	Windoffshore	34	scenario1	1	0.0063
Germany	Windoffshore	35	scenario1	1	0.0064
Germany	Windoffshore	36	scenario1	1	0.0076
Germany	Windoffshore	37	scenario1	1	0.0117
Germany	Windoffshore	38	scenario1	1	0.0193
Germany	Windoffshore	39	scenario1	1	0.0295
Germany	Windoffshore	40	scenario1	1	0.0405
Germany	Windoffshore	41	scenario1	1	0.0476
Germany	Windoffshore	42	scenario1	1	0.0505
Germany	Windoffshore	43	scenario1	1	0.049
Germany	Windoffshore	44	scenario1	1	0.047
Germany	Windoffshore	45	scenario1	1	0.0459
Germany	Windoffshore	46	scenario1	1	0.046
Germany	Windoffshore	47	scenario1	1	0.045
Germany	Windoffshore	48	scenario1	1	0.0454
Denmark	Windoffshore	1	scenario1	1	0.0099
Denmark	Windoffshore	2	scenario1	1	0.0063
Denmark	Windoffshore	3	scenario1	1	0.0031
Denmark	Windoffshore	4	scenario1	1	0.0012
Denmark	Windoffshore	5	scenario1	1	0.0024
Denmark	Windoffshore	6	scenario1	1	0.0074
Denmark	Windoffshore	7	scenario1	1	0.0134
Denmark	Windoffshore	8	scenario1	1	0.0169
Denmark	Windoffshore	9	scenario1	1	0.0172
Denmark	Windoffshore	10	scenario1	1	0.0143
Denmark	Windoffshore	11	scenario1	1	0.0106
Denmark	Windoffshore	12	scenario1	1	0.0089
Denmark	Windoffshore	13	scenario1	1	0.0118
Denmark	Windoffshore	14	scenario1	1	0.0169
Denmark	Windoffshore	15	scenario1	1	0.0203
Denmark	Windoffshore	16	scenario1	1	0.0225
Denmark	Windoffshore	17	scenario1	1	0.0209
Denmark	Windoffshore	18	scenario1	1	0.0167
Denmark	Windoffshore	19	scenario1	1	0.0146
Denmark	Windoffshore	20	scenario1	1	0.0154
Denmark	Windoffshore	21	scenario1	1	0.0174
Denmark	Windoffshore	22	scenario1	1	0.0209
Denmark	Windoffshore	23	scenario1	1	0.0259
Denmark	Windoffshore	24	scenario1	1	0.0347
Denmark	Windoffshore	25	scenario1	1	0.045
Denmark	Windoffshore	26	scenario1	1	0.05
Denmark	Windoffshore	27	scenario1	1	0.0524
Denmark	Windoffshore	28	scenario1	1	0.0575
Denmark	Windoffshore	29	scenario1	1	0.0634
Denmark	Windoffshore	30	scenario1	1	0.0697
Denmark	Windoffshore	31	scenario1	1	0.0742
Denmark	Windoffshore	32	scenario1	1	0.0829
Denmark	Windoffshore	33	scenario1	1	0.0978
Denmark	Windoffshore	34	scenario1	1	0.1119
Denmark	Windoffshore	35	scenario1	1	0.1257
Denmark	Windoffshore	36	scenario1	1	0.1419
Denmark	Windoffshore	37	scenario1	1	0.1559
Denmark	Windoffshore	38	scenario1	1	0.1619
Denmark	Windoffshore	39	scenario1	1	0.174
Denmark	Windoffshore	40	scenario1	1	0.196
Denmark	Windoffshore	41	scenario1	1	0.2218
Denmark	Windoffshore	42	scenario1	1	0.244
Denmark	Windoffshore	43	scenario1	1	0.2547
Denmark	Windoffshore	44	scenario1	1	0.2638
Denmark	Windoffshore	45	scenario1	1	0.2739
Denmark	Windoffshore	46	scenario1	1	0.2679
Denmark	Windoffshore	47	scenario1	1	0.2549
Denmark	Windoffshore	48	scenario1	1	0.2427
France	Windoffshore	1	scenario1	1	0.4786
France	Windoffshore	2	scenario1	1	0.4829
France	Windoffshore	3	scenario1	1	0.512
France	Windoffshore	4	scenario1	1	0.5337
France	Windoffshore	5	scenario1	1	0.5265
