seed,num_samples,sampling(s),labeling(s)
1,500,4494.0734,8100
2,500,4484.3989,7223
3,500,4338.4811,7825
4,500,3856.4981,8453
5,500,3948.1767,9816
6,500,3986.2093,7695
7,500,4673.1125,10369
8,500,3958.1405,7278
9,500,3885.9100,7968
10,500,4065.0770,8107
