Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
Germany	HydroPumpStorage	1	500000
France	HydroPumpStorage	1	500000
Germany	Li-Ion_BESS	1	500000
Denmark	Li-Ion_BESS	1	500000
France	Li-Ion_BESS	1	500000
