run_id,seed,model_type,training_time_sec,r2_score,mape_percent
1,1001,NN,52.758673906326294,0.9389360547065735,5.730350315570831
1,1001,LR,0.06173062324523926,0.9054780006408691,7.010603696107864
2,1002,NN,107.8246259689331,0.93221515417099,5.773814395070076
2,1002,LR,0.06276822090148926,0.8966866731643677,6.696155667304993
3,1003,NN,85.00360012054443,0.9340300559997559,5.351576954126358
3,1003,LR,0.08861732482910156,0.9006136655807495,6.576797366142273
4,1004,NN,100.66928791999817,0.9350113272666931,5.847158282995224
4,1004,LR,0.11178207397460938,0.9075999855995178,6.8888939917087555
5,1005,NN,117.35952067375183,0.9261276125907898,5.550584197044373
5,1005,LR,0.07160305976867676,0.895790159702301,6.647918373346329
6,1006,NN,85.06728076934814,0.9269007444381714,5.688318982720375
6,1006,LR,0.07329297065734863,0.9006210565567017,6.624901294708252
7,1007,NN,169.1326289176941,0.7770530581474304,8.338500559329987
7,1007,LR,0.12150812149047852,0.8738366365432739,6.573072820901871
8,1008,NN,111.84168982505798,0.9350302815437317,5.740760639309883
8,1008,LR,0.08547782897949219,0.9021121263504028,6.915807723999023
9,1009,NN,101.08132410049438,0.9388681054115295,5.618366599082947
9,1009,LR,0.08397412300109863,0.9051400423049927,6.801597028970718
10,1010,NN,86.49869680404663,0.9357361197471619,5.71090430021286
10,1010,LR,0.06860089302062988,0.9116711616516113,6.714879721403122
