run_id,seed,model_type,training_time_sec,r2_score,mape_percent
1,1001,NN,25.309183835983276,0.8879958391189575,7.094760984182358
1,1001,LR,0.0353999137878418,0.7990496754646301,9.737879782915115
2,1002,NN,27.73746609687805,0.8794792294502258,7.68764391541481
2,1002,LR,0.033713340759277344,0.796606183052063,10.899461060762405
3,1003,NN,27.248898029327393,0.8951338529586792,7.608693093061447
3,1003,LR,0.03156399726867676,0.8277025818824768,9.442172944545746
4,1004,NN,27.59841012954712,0.887710452079773,7.802090048789978
4,1004,LR,0.031707763671875,0.7671947479248047,10.988705605268478
5,1005,NN,27.629745960235596,0.7705639600753784,10.523819923400879
5,1005,LR,0.03548407554626465,0.7157309055328369,10.656426101922989
6,1006,NN,27.769646883010864,0.8409938216209412,9.05085951089859
6,1006,LR,0.016737937927246094,0.7340455055236816,11.519813537597656
7,1007,NN,27.444504737854004,0.8711058497428894,7.830583304166794
7,1007,LR,0.01517176628112793,0.7858724594116211,10.378776490688324
8,1008,NN,9.52983283996582,0.8271857500076294,8.082399517297745
8,1008,LR,0.01580524444580078,0.7693601250648499,10.293115675449371
9,1009,NN,17.706801176071167,0.8616995811462402,7.478039711713791
9,1009,LR,0.016180992126464844,0.5278540849685669,12.427110970020294
10,1010,NN,28.635491847991943,0.8279411792755127,8.629495650529861
10,1010,LR,0.035655975341796875,0.7281529903411865,11.600520461797714
