Country,Energy_Type,Period,Type,Value
Germany,Oilexisting,7,Generation,0.0
Germany,Oilexisting,8,Generation,0.0
Denmark,Oilexisting,1,Generation,0.0
Denmark,Oilexisting,2,Generation,0.0
Denmark,Oilexisting,3,Generation,0.0
Denmark,Oilexisting,4,Generation,0.0
Denmark,Oilexisting,5,Generation,0.0
Denmark,Oilexisting,6,Generation,0.0
Denmark,Oilexisting,7,Generation,0.0
Denmark,Oilexisting,8,Generation,0.0
France,Oilexisting,1,Generation,0.0
France,Oilexisting,2,Generation,0.0
France,Oilexisting,3,Generation,0.0
France,Oilexisting,4,Generation,0.0
France,Oilexisting,5,Generation,0.0
France,Oilexisting,6,Generation,0.0
France,Oilexisting,7,Generation,0.0
France,Oilexisting,8,Generation,0.0
Germany,Bioexisting,1,Generation,0.0
Germany,Bioexisting,2,Generation,0.0
Germany,Bioexisting,3,Generation,0.0
Germany,Bioexisting,4,Generation,0.0
Germany,Bioexisting,5,Generation,0.0
Germany,Bioexisting,6,Generation,0.0
Germany,Bioexisting,7,Generation,0.0
Germany,Bioexisting,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
France,Bioexisting,1,Generation,0.0
France,Bioexisting,2,Generation,0.0
France,Bioexisting,3,Generation,0.0
France,Bioexisting,4,Generation,0.0
France,Bioexisting,5,Generation,0.0
France,Bioexisting,6,Generation,0.0
France,Bioexisting,7,Generation,0.0
France,Bioexisting,8,Generation,0.0
Germany,Bio10cofiring,1,Generation,99098.44607004081
Germany,Bio10cofiring,2,Generation,100896.70122837654
Germany,Bio10cofiring,3,Generation,4.248735864279073
Germany,Bio10cofiring,4,Generation,0.1689451002223807
Germany,Bio10cofiring,5,Generation,0.22915954336964914
Germany,Bio10cofiring,6,Generation,0.009840339445615503
Germany,Bio10cofiring,7,Generation,0.012688791821057371
Germany,Bio10cofiring,8,Generation,0.025256883085712493
Denmark,Bio10cofiring,1,Generation,13.921265417677319
Denmark,Bio10cofiring,2,Generation,0.1478273651745149
Denmark,Bio10cofiring,3,Generation,0.36429180063936034
Denmark,Bio10cofiring,4,Generation,0.3352459081556596
Denmark,Bio10cofiring,5,Generation,0.3193872470495797
Denmark,Bio10cofiring,6,Generation,0.13472871836623318
Denmark,Bio10cofiring,7,Generation,1.1843395927666884
Denmark,Bio10cofiring,8,Generation,0.2616855853338425
France,Bio10cofiring,1,Generation,122897.6995040214
France,Bio10cofiring,2,Generation,45833.38792528786
France,Bio10cofiring,3,Generation,0.22133450853386888
France,Bio10cofiring,4,Generation,0.32294114733078805
France,Bio10cofiring,5,Generation,0.14011579776936767
France,Bio10cofiring,6,Generation,0.07195638816752241
France,Bio10cofiring,7,Generation,0.025707782943345015
France,Bio10cofiring,8,Generation,0.2637230363661776
Germany,Nuclear,1,Generation,0.0
Germany,Nuclear,2,Generation,0.0
Germany,Nuclear,3,Generation,0.0
Germany,Nuclear,4,Generation,0.0
Germany,Nuclear,5,Generation,0.0
Germany,Nuclear,6,Generation,0.0
Germany,Nuclear,7,Generation,0.0
Germany,Nuclear,8,Generation,0.0
France,Nuclear,1,Generation,0.04843067550973501
France,Nuclear,2,Generation,0.054078532485960965
France,Nuclear,3,Generation,0.10171602148014439
France,Nuclear,4,Generation,0.09013716002889287
France,Nuclear,5,Generation,0.25912541081594853
France,Nuclear,6,Generation,0.4014591444767351
France,Nuclear,7,Generation,15.593494749555175
France,Nuclear,8,Generation,0.208402729326334
France,Wave,1,Generation,0.011096135957842534
France,Wave,2,Generation,0.0007659129928646622
France,Wave,3,Generation,0.0967786404203984
France,Wave,4,Generation,0.009917578450850874
France,Wave,5,Generation,206.31430700017762
France,Wave,6,Generation,0.23120693876134904
France,Wave,7,Generation,0.20455825607633638
France,Wave,8,Generation,0.06281410920694655
Germany,Geo,1,Generation,0.04929664407035972
Germany,Geo,2,Generation,0.0019895970638287215
Germany,Geo,3,Generation,0.18395909491097268
Germany,Geo,4,Generation,0.012132167523926273
Germany,Geo,5,Generation,241.7297793826605
Germany,Geo,6,Generation,0.006342365027847047
Germany,Geo,7,Generation,0.062342879983272884
Germany,Geo,8,Generation,0.0027048144018707197
France,Geo,1,Generation,0.7236091351056084
France,Geo,2,Generation,0.18490516322057507
France,Geo,3,Generation,0.7657509081516073
France,Geo,4,Generation,0.10157177338896563
France,Geo,5,Generation,69.62819572294032
France,Geo,6,Generation,0.11024504459611022
France,Geo,7,Generation,9.136237768302326
France,Geo,8,Generation,0.06895089010052197
Germany,Hydroregulated,1,Generation,0.008462185327061889
Germany,Hydroregulated,2,Generation,0.0018383300018005122
Germany,Hydroregulated,3,Generation,0.003081978979223964
Germany,Hydroregulated,4,Generation,0.004936964045203268
Germany,Hydroregulated,5,Generation,0.005432124845710159
Germany,Hydroregulated,6,Generation,0.009677726151141666
Germany,Hydroregulated,7,Generation,0.013837964158556761
Germany,Hydroregulated,8,Generation,0.02400966490584189
France,Hydroregulated,1,Generation,0.06463516342773801
France,Hydroregulated,2,Generation,0.001401640662057909
France,Hydroregulated,3,Generation,0.03877941128883783
France,Hydroregulated,4,Generation,0.14432338603568168
France,Hydroregulated,5,Generation,0.002189075864830521
France,Hydroregulated,6,Generation,0.008682912248869329
France,Hydroregulated,7,Generation,0.11336354752816882
France,Hydroregulated,8,Generation,0.059152457331466866
Germany,Hydrorun-of-the-river,1,Generation,0.07825967421376845
Germany,Hydrorun-of-the-river,2,Generation,0.10163861814163239
Germany,Hydrorun-of-the-river,3,Generation,433.1432997722462
Germany,Hydrorun-of-the-river,4,Generation,0.019249007133030925
Germany,Hydrorun-of-the-river,5,Generation,0.010681689782537982
Germany,Hydrorun-of-the-river,6,Generation,0.006397817536514122
Germany,Hydrorun-of-the-river,7,Generation,0.0033168750827665817
Germany,Hydrorun-of-the-river,8,Generation,0.00485770609291009
Denmark,Hydrorun-of-the-river,1,Generation,0.10651473649194543
Denmark,Hydrorun-of-the-river,2,Generation,0.039766846945818744
Denmark,Hydrorun-of-the-river,3,Generation,0.01121237274266958
Denmark,Hydrorun-of-the-river,4,Generation,0.00774489979472271
Denmark,Hydrorun-of-the-river,5,Generation,0.08128693869899135
Denmark,Hydrorun-of-the-river,6,Generation,1.1769225411000879
Denmark,Hydrorun-of-the-river,7,Generation,0.5574713281828025
Denmark,Hydrorun-of-the-river,8,Generation,0.025798471424781165
France,Hydrorun-of-the-river,1,Generation,4688.558426331088
France,Hydrorun-of-the-river,2,Generation,0.05619603131346301
France,Hydrorun-of-the-river,3,Generation,0.020903013076630214
France,Hydrorun-of-the-river,4,Generation,0.016005399973124557
France,Hydrorun-of-the-river,5,Generation,0.0029698591855347035
France,Hydrorun-of-the-river,6,Generation,0.00395258811506486
France,Hydrorun-of-the-river,7,Generation,0.004493898581748895
France,Hydrorun-of-the-river,8,Generation,0.006842102789604902
Germany,Bio,1,Generation,4.184192073170884
