Unnamed:_1	Unnamed:_2	Unnamed:_3	Unnamed:_4
Germany	1	1	67393.96825564456
Germany	1	2	67358.70475849535
Germany	1	3	67465.89144818186
Germany	1	4	67516.03500902008
Germany	1	5	67974.04553941192
Germany	1	6	68185.35694177542
Germany	1	7	68691.9338426595
Germany	1	8	68858.67102999912
Germany	1	9	69168.29715881967
Germany	1	10	69093.69639975837
Germany	1	11	68154.23244099172
Germany	1	12	67135.76584623146
Germany	1	13	66367.58909540492
Germany	1	14	65985.53774195572
Germany	1	15	65780.72288610319
Germany	1	16	66076.85482036108
Germany	1	17	66237.87665848482
Germany	1	18	66068.18860188674
Germany	1	19	66403.45307690733
Germany	1	20	67092.34039602093
Germany	1	21	67824.73133160206
Germany	1	22	68440.40655243273
Germany	1	23	68091.79286264528
Germany	1	24	67445.42072906796
Germany	1	25	67295.07407527964
Germany	1	26	67332.5745232063
Germany	1	27	67315.85634276092
Germany	1	28	67167.60538215695
Germany	1	29	67299.96914407192
Germany	1	30	67822.5544013434
Germany	1	31	68429.95879468325
Germany	1	32	69026.485608915
Germany	1	33	69461.15522967838
Germany	1	34	69600.84028517122
Germany	1	35	68698.218688891
Germany	1	36	67524.32165587241
Germany	1	37	66709.83353801431
Germany	1	38	66075.71247634743
Germany	1	39	65908.96533211555
Germany	1	40	66148.48181861725
Germany	1	41	66388.76563720891
Germany	1	42	66570.38139935644
Germany	1	43	67108.05079008086
Germany	1	44	68001.46737904355
Germany	1	45	68822.33032738381
Germany	1	46	69153.27472087677
Germany	1	47	68563.16842716551
Germany	1	48	67826.37787886793
Germany	1	49	61259.34863690972
Germany	1	50	61034.58156478167
Germany	1	51	60306.988269336696
Germany	1	52	59765.52707070511
Germany	1	53	59201.51406942097
Germany	1	54	58483.72384621497
Germany	1	55	58245.51878478531
Germany	1	56	58220.27480596305
Germany	1	57	58080.31616857057
Germany	1	58	57961.22615376238
Germany	1	59	58039.62393181464
Germany	1	60	58646.67471589645
Germany	1	61	58690.35383422211
Germany	1	62	58488.8457832628
Germany	1	63	58362.28223678564
Germany	1	64	58112.011562195876
Germany	1	65	57752.95486046746
Germany	1	66	57670.06550039737
Germany	1	67	57800.03784012215
Germany	1	68	58144.47912677471
Germany	1	69	59142.315878254965
Germany	1	70	59977.444540725905
Germany	1	71	60717.02370113782
Germany	1	72	61020.74222897218
Germany	1	73	61236.80055645983
Germany	1	74	61295.15771592206
Germany	1	75	60742.82563814728
Germany	1	76	60396.16433673963
Germany	1	77	60020.877900617226
Germany	1	78	59658.24481346388
Germany	1	79	60148.22413327057
Germany	1	80	60447.30702984198
Germany	1	81	60258.292552300096
Germany	1	82	60212.7832268988
Germany	1	83	60168.9925355467
Germany	1	84	60606.23913030568
Germany	1	85	60728.280572702744
Germany	1	86	60526.524716097585
Germany	1	87	60143.79750369016
Germany	1	88	59758.11421094046
Germany	1	89	59535.71455279509
Germany	1	90	59504.50360385331
Germany	1	91	59513.76137339435
Germany	1	92	59695.62075370969
Germany	1	93	60551.821084923075
Germany	1	94	61067.332295932145
Germany	1	95	61655.234580359975
Germany	1	96	61860.400905204
Germany	1	97	59829.35986952833
Germany	1	98	59920.566584623164
Germany	1	99	59658.73279423998
Germany	1	100	59777.08385875392
Germany	1	101	60010.60061975219
Germany	1	102	59926.64503471401
Germany	1	103	59962.47626083254
Germany	1	104	59875.43031698912
Germany	1	105	60259.21268081158
Germany	1	106	60637.66587394993
Germany	1	107	60728.00364082064
Germany	1	108	60369.243040318295
Germany	1	109	59732.22489522223
Germany	1	110	59340.40545823958
Germany	1	111	58664.367089847794
Germany	1	112	58092.474464578336
Germany	1	113	57560.49334404502
Germany	1	114	57380.36674214922
Germany	1	115	57533.01836996963
Germany	1	116	57494.67186536554
Germany	1	117	58131.947400779434
Germany	1	118	59125.30327157471
Germany	1	119	59965.04039322876
Germany	1	120	60446.61023349348
Germany	1	121	60633.93445878189
Germany	1	122	60898.68831719601
Germany	1	123	60716.562148001
Germany	1	124	60729.88028237514
Germany	1	125	60930.89495536441
Germany	1	126	60871.89608815388
Germany	1	127	61167.73648088402
Germany	1	128	61181.452984003896
Germany	1	129	61240.853011612184
Germany	1	130	61301.388497159096
Germany	1	131	61178.660308360886
Germany	1	132	60750.767515973006
Germany	1	133	60292.32483784579
Germany	1	134	59692.236713110105
Germany	1	135	58934.03797805024
Germany	1	136	58232.58319979533
Germany	1	137	57793.345971023635
Germany	1	138	57609.24954687578
Germany	1	139	57643.828717055585
Germany	1	140	57555.58115312026
Germany	1	141	58079.166194041354
Germany	1	142	58773.16902940306
Germany	1	143	59352.252019769825
Germany	1	144	59724.55129515729
Germany	1	145	63955.52803559768
Germany	1	146	63434.16524275332
Germany	1	147	62692.32661223753
Germany	1	148	62393.48807827444
Germany	1	149	62116.19681750591
Germany	1	150	61913.139864941244
Germany	1	151	61813.27288689642
Germany	1	152	61947.16545052206
Germany	1	153	62178.183682947
Germany	1	154	63190.51562235538
Germany	1	155	64474.515504778625
Germany	1	156	65596.53461660333
Germany	1	157	65997.36485497675
Germany	1	158	66509.96679234273
Germany	1	159	67366.49942320366
Germany	1	160	68443.24836115158
Germany	1	161	69436.40044134812
Germany	1	162	69591.39286940178
Germany	1	163	69670.02933370323
Germany	1	164	69435.73919203557
Germany	1	165	69000.57386692542
Germany	1	166	68189.67404554093
Germany	1	167	67675.47807486168
Germany	1	168	66732.03712860277
Germany	1	169	65800.70329806427
Germany	1	170	64932.25161577522
Germany	1	171	63968.25443279503
Germany	1	172	63379.83010943624
Germany	1	173	63094.67048434559
Germany	1	174	63094.62209571028
Germany	1	175	63018.99661424116
Germany	1	176	62957.8207237169
Germany	1	177	62869.68166199073
Germany	1	178	63262.47194249688
Germany	1	179	64233.676984927166
Germany	1	180	65179.05617519551
Germany	1	181	65661.12479062422
Germany	1	182	66355.07933040566
Germany	1	183	67472.75211917357
Germany	1	184	68644.59477545795
Germany	1	185	69281.49073924983
Germany	1	186	69181.60049743803
Germany	1	187	69025.60809962463
Germany	1	188	68731.12333312379
Germany	1	189	68174.93710054638
Germany	1	190	67317.19580830267
Germany	1	191	66654.8021666791
Germany	1	192	65651.47674812839
Germany	1	193	73448.16335694805
Germany	1	194	73114.66720738297
Germany	1	195	71139.53012041423
Germany	1	196	68744.05007788235
Germany	1	197	67457.93496071048
Germany	1	198	66445.87325321927
Germany	1	199	65763.63769646994
Germany	1	200	66040.82008280905
