first stage decision,expected second stage value,feasibility
[1 0 0 0 0 0 1 1 1 0],0.0,0
[0 1 1 0 1 0 1 0 0 0],44.7635760303639,1
[1 0 0 1 0 1 1 0 1 1],0.0,0
[1 0 1 1 1 1 0 1 1 0],35.86231356253238,1
[1 1 1 1 1 0 1 0 1 0],31.256821716294844,1
[1 0 1 0 0 0 1 1 0 1],0.0,0
[0 0 0 1 0 0 0 1 0 0],0.0,0
[0 1 0 0 0 1 0 0 0 1],0.0,0
[1 1 0 0 0 0 0 1 1 0],0.0,0
[0 1 1 1 1 1 1 1 0 0],31.44652194878207,1
[1 0 0 1 1 1 0 1 1 0],37.96500823992262,1
[1 1 1 1 1 1 0 1 0 0],32.281158686856635,1
[0 1 1 0 1 0 0 1 1 0],44.53703598047666,1
[1 0 1 1 0 0 0 1 1 1],37.349168841277844,1
[0 0 0 1 0 1 1 1 1 1],36.633748494994705,1
[1 0 0 0 1 0 0 1 0 1],57.331601149982404,1
[1 1 0 0 1 0 1 0 0 0],0.0,0
[0 0 0 1 0 1 1 1 1 0],38.43587047385479,1
[0 1 0 1 1 0 0 0 0 0],0.0,0
[0 0 0 0 1 0 1 1 1 1],52.960720641449555,1
[1 0 0 0 1 0 0 0 0 0],0.0,0
[1 0 0 1 1 0 1 1 0 0],38.42061006357305,1
[1 1 0 0 0 0 1 1 0 0],0.0,0
[0 0 1 1 1 0 0 1 1 1],37.83347344975125,1
[1 0 1 0 1 1 1 1 1 1],44.66214336057497,1
[0 1 0 1 0 1 0 1 0 0],0.0,0
[0 1 1 1 1 1 1 1 1 1],31.04314863564831,1
[0 1 0 1 0 0 0 0 1 0],0.0,0
[0 1 1 1 0 0 1 0 0 0],0.0,0
[1 1 1 0 0 0 1 1 0 1],43.78138501519561,1
[1 0 1 0 1 1 0 1 0 1],48.71167144469244,1
[1 0 0 0 0 1 1 0 1 1],0.0,0
[0 0 1 1 0 0 1 1 1 1],35.65586982160525,1
[0 0 0 1 1 1 0 1 0 1],40.62672189670702,1
[0 0 1 0 0 1 0 1 1 0],0.0,0
[1 1 1 0 1 0 0 1 1 0],43.55108859985772,1
[0 0 0 1 0 0 1 0 1 0],0.0,0
[1 0 0 0 0 1 1 1 1 0],0.0,0
[1 0 0 0 1 1 1 0 0 0],0.0,0
[1 1 0 1 1 1 1 1 1 1],32.3025208574866,1
[0 0 0 1 1 1 0 1 0 0],40.93633740373317,1
[1 1 1 1 0 0 1 0 0 1],0.0,0
[1 1 0 1 1 1 1 0 0 0],33.0293484397263,1
[1 1 0 1 1 0 0 0 1 0],36.609177746652236,1
[1 0 0 1 1 1 0 0 0 1],41.60525748127013,1
[0 0 0 1 0 1 1 1 0 0],0.0,0
[0 1 1 0 1 0 0 0 0 1],47.45028982996486,1
[0 1 0 0 0 0 0 1 0 1],0.0,0
[0 1 0 1 1 1 0 0 1 0],34.35870385072614,1
[1 0 1 1 0 0 1 1 1 1],34.72017725267601,1
[1 1 0 1 1 0 0 1 1 0],34.65803591796794,1
[1 0 1 0 1 0 0 0 0 0],0.0,0
[0 1 0 0 0 1 1 0 0 0],0.0,0
[0 0 1 1 1 1 1 0 0 0],34.925287751517715,1
[0 0 0 1 1 0 1 1 1 0],38.21511337695586,1
[1 1 1 1 0 0 0 0 1 0],0.0,0
[0 0 1 1 1 0 0 1 0 1],40.00340906685394,1
[0 0 1 0 0 1 0 1 0 1],0.0,0
[1 0 1 0 0 0 1 0 0 0],0.0,0
[0 1 1 0 1 0 1 1 1 0],42.81364144429658,1
[0 1 0 1 0 1 0 0 0 1],0.0,0
[1 1 0 0 1 1 0 1 1 0],45.25129474494515,1
[0 1 0 0 0 0 0 0 0 0],0.0,0
[0 0 0 1 1 0 0 0 0 0],0.0,0
[1 1 1 1 0 0 1 1 0 0],35.98533174971127,1
[1 0 1 0 0 0 0 1 0 1],0.0,0
[0 1 1 1 0 0 0 1 1 0],34.350508327784844,1
[1 0 1 0 1 0 1 1 0 0],48.10093862057793,1
[0 0 1 1 0 1 0 1 0 0],42.936784977515096,1
[0 0 0 0 0 1 0 1 1 0],0.0,0
[0 0 1 1 1 0 0 0 1 1],37.58935907471671,1
[0 1 0 1 1 0 1 1 0 0],34.347590738971654,1
[0 1 1 1 1 0 1 0 0 1],31.622836533720154,1
[0 1 1 0 0 0 0 1 0 1],0.0,0
[0 1 1 0 0 1 0 0 1 0],0.0,0
[0 1 1 0 1 0 1 1 0 1],43.282363654100074,1
[1 0 1 1 0 1 0 0 0 1],0.0,0
[1 0 0 0 0 0 0 1 0 1],0.0,0
[0 1 0 1 0 1 1 1 1 1],32.62297808789607,1
[0 0 0 0 1 1 1 1 1 0],49.27318575481091,1
[1 1 1 0 1 0 1 0 0 1],42.86244123910705,1
[1 0 0 0 1 1 1 1 1 0],48.11757115789853,1
[0 0 0 1 1 0 1 0 1 1],43.32645690404791,1
[1 0 1 1 1 0 1 0 1 0],34.64904694072792,1
[1 1 1 0 0 1 0 0 1 1],0.0,0
[0 1 1 0 1 1 0 0 0 0],44.27379033862168,1
[0 1 0 0 1 1 0 1 0 1],47.44869357454087,1
[1 1 0 0 0 0 0 1 1 1],0.0,0
[0 1 0 1 0 1 0 0 1 1],0.0,0
[1 1 0 0 1 1 0 0 0 1],49.78042058590061,1
[1 1 1 1 1 0 1 1 1 1],31.13289612704721,1
[1 0 0 0 1 0 1 0 0 1],0.0,0
[1 1 1 0 0 0 0 1 0 1],46.017714050556144,1
[1 1 1 0 0 0 1 0 0 1],0.0,0
[0 0 1 0 0 0 1 0 0 0],0.0,0
[1 0 0 0 0 0 1 1 0 0],0.0,0
[0 1 0 0 1 0 0 1 1 0],49.60216980694791,1
[1 0 1 1 0 1 1 1 1 1],34.087694326568304,1
[1 0 0 1 1 1 0 0 1 0],39.093138597666645,1
[1 1 0 1 1 0 1 0 1 1],34.35923978915625,1
[0 1 0 1 0 0 1 1 0 0],0.0,0
[1 0 0 0 0 1 1 1 0 1],0.0,0
[1 0 0 0 1 0 0 1 1 1],54.25431420562144,1
[1 1 0 1 0 1 0 0 0 1],0.0,0
[1 0 1 1 1 1 1 1 0 0],34.540909515836184,1
[0 1 0 0 0 1 0 0 1 0],0.0,0
[1 1 0 1 1 0 0 1 0 1],35.15276731754871,1
[0 0 0 1 0 1 0 1 0 0],0.0,0
[1 1 1 0 0 1 1 0 0 0],0.0,0
[0 1 0 0 0 0 1 0 1 0],0.0,0
[0 1 1 1 1 0 0 1 1 1],32.50470052966198,1
[0 0 1 0 0 0 1 0 0 1],0.0,0
[1 1 0 1 1 1 1 0 1 1],32.37401966250816,1
[0 1 1 0 1 1 0 1 1 1],42.58751714639233,1
[1 0 1 1 0 1 0 1 1 0],37.6643987460458,1
[1 1 0 0 0 0 1 0 1 0],0.0,0
[1 1 0 0 0 0 1 0 0 1],0.0,0
[1 0 1 1 1 1 0 0 1 1],35.676578875216094,1
[1 0 0 0 1 0 0 0 0 1],0.0,0
[0 1 0 1 1 0 0 1 0 0],36.805908524190734,1
[1 0 1 0 0 0 1 0 1 0],0.0,0
[1 0 0 0 1 0 1 1 0 0],53.3070243645985,1
[1 0 1 1 1 0 1 0 1 1],34.48281905243752,1
[0 1 1 0 0 1 1 0 0 1],0.0,0
[0 1 0 0 0 0 0 1 1 0],0.0,0
[0 0 1 0 0 1 1 0 1 1],0.0,0
[0 0 1 1 0 1 1 0 0 1],0.0,0
[1 1 0 0 0 1 0 1 0 0],0.0,0
[0 1 1 0 0 1 1 1 0 1],43.02621510934161,1
[0 0 1 1 0 1 0 0 1 0],0.0,0
[0 0 0 1 0 1 0 0 1 0],0.0,0
[1 0 1 0 0 1 0 1 0 1],50.33947126367498,1
[1 0 1 0 1 0 1 0 1 0],47.223230000211856,1
[1 0 1 1 1 0 0 1 0 1],38.53733646955014,1
[0 1 1 0 0 1 1 1 0 0],46.50411406951554,1
[0 0 0 0 1 0 1 1 0 0],56.0254655216116,1
[1 1 1 1 0 0 1 0 0 0],0.0,0
[1 0 1 0 1 1 1 1 0 0],45.813345801510145,1
[1 1 0 1 1 1 0 0 1 0],33.73449877897356,1
[1 1 0 0 1 1 0 0 0 0],0.0,0
[1 1 1 1 1 1 0 0 1 0],31.941932382126065,1
[0 0 1 0 1 1 0 1 1 1],47.77200133653126,1
[1 0 0 1 1 0 0 1 0 0],42.266092076359634,1
[0 1 0 1 1 1 0 1 1 1],33.69470458236572,1
[1 0 1 0 0 0 0 0 0 0],0.0,0
[0 0 1 0 0 0 1 1 0 0],0.0,0
[1 0 0 0 1 1 0 0 1 0],55.39743780296144,1
[1 0 1 1 0 1 0 0 1 1],0.0,0
[0 1 0 1 1 1 1 1 1 1],32.512124270365106,1
[0 0 0 0 1 0 0 0 0 0],0.0,0
[0 0 0 1 0 1 0 0 0 0],0.0,0
[0 1 0 0 1 1 1 1 1 0],44.542672549459255,1
[0 1 0 1 1 0 0 1 1 1],34.96838777341516,1
[1 1 1 1 0 1 1 1 0 1],32.53033860033094,1
[1 1 1 0 1 0 1 1 0 1],42.282925004147835,1
[1 0 1 0 1 1 0 0 1 1],47.16464477230137,1
[1 0 1 1 0 1 0 1 0 0],41.94554408321578,1
[1 0 1 1 1 0 0 1 1 0],36.87847553270471,1
[1 1 1 1 1 0 1 0 0 0],31.54169946078243,1
[0 1 1 0 1 1 1 1 1 1],41.358357204436246,1
[0 0 0 1 1 0 1 1 0 0],40.22697809243175,1
[0 1 1 1 0 0 1 1 0 1],33.020226874425816,1
[0 0 0 0 0 1 1 0 0 1],0.0,0
[0 1 1 0 1 1 0 1 0 1],43.4119416486362,1
[1 0 0 1 1 1 0 0 0 0],72.81050853581284,1
[1 0 0 1 0 0 0 1 0 1],0.0,0
[0 1 0 0 0 1 1 1 0 0],0.0,0
[1 0 0 0 0 1 0 1 1 0],0.0,0
[0 0 1 0 0 1 1 1 1 0],47.57433638332471,1
[0 0 0 0 0 0 0 1 0 0],0.0,0
[1 1 1 0 1 1 1 1 1 1],41.23163981936311,1
[1 0 1 1 1 0 1 0 0 1],35.32094193236985,1
[1 1 1 1 0 1 0 1 1 1],31.924919515718,1
[1 1 0 1 1 0 1 1 1 1],33.221676631989176,1
[0 0 0 0 1 1 1 1 1 1],48.966781389195134,1
[1 1 1 1 1 1 1 1 1 0],31.16707422489595,1
[0 1 0 0 1 0 0 1 0 0],51.91825266904941,1
[1 0 0 0 1 0 0 1 1 0],54.562808075465796,1
[1 0 0 0 1 0 0 1 0 0],57.64221200733679,1
[0 1 1 1 0 0 1 1 1 0],32.699560122855345,1
[1 0 1 1 0 1 0 1 0 1],38.16175708871045,1
[0 0 1 0 1 0 1 1 1 1],47.43993977631663,1
[0 1 0 1 1 1 0 0 0 1],35.850592487773454,1
[1 1 1 0 1 1 1 0 1 0],41.35630579301515,1
[0 0 0 0 0 1 0 1 1 1],0.0,0
[0 0 1 0 0 1 1 1 0 0],0.0,0
[0 0 0 1 1 1 1 1 0 1],37.367691574921096,1
[1 1 1 0 0 1 0 0 0 1],0.0,0
[0 0 0 0 1 0 0 1 1 0],57.62414646880685,1
[0 0 0 0 0 1 0 0 0 1],0.0,0
[1 1 0 0 1 0 1 0 1 0],51.31839778685312,1
[1 0 0 0 1 1 1 0 1 1],50.808522810142755,1
[0 0 0 1 1 0 0 1 0 1],44.297396791421626,1
[0 1 0 1 1 0 1 0 0 0],39.701510354922824,1
[1 1 0 1 1 0 0 1 0 0],35.47904524969106,1
[0 1 1 1 0 1 0 0 0 0],0.0,0
[0 0 1 1 1 1 0 0 1 0],36.2045709607349,1
[1 1 0 1 1 1 1 0 1 0],32.50826189669639,1
[0 0 0 0 1 0 0 1 0 1],61.1733746628228,1
[1 1 1 1 1 0 0 0 1 1],32.07399705721761,1
[0 1 1 1 0 1 0 0 1 0],0.0,0
[1 1 1 1 0 1 0 1 0 0],37.09553422067453,1
[0 1 0 0 1 0 0 0 0 1],0.0,0
[1 1 1 0 0 0 1 0 1 1],0.0,0
[1 1 1 1 1 0 0 0 1 0],32.22426058150626,1
[1 0 1 0 1 1 0 1 1 1],46.81318621423204,1
[1 0 0 0 0 0 0 0 0 0],0.0,0
[1 1 1 1 1 1 0 1 0 1],31.974392614599005,1
[1 0 0 0 1 1 1 0 1 0],51.124994241221884,1
[1 1 0 0 1 0 1 0 1 1],50.98234232361479,1
[0 0 0 0 0 0 0 0 1 1],0.0,0
[0 1 1 1 0 1 1 1 0 0],35.73991533998388,1
[0 1 1 1 0 0 1 1 1 1],31.42863566631194,1
[0 1 1 1 0 1 0 1 0 0],37.33813313359667,1
[0 1 1 1 1 1 0 0 1 0],31.987040371139585,1
[0 0 1 1 1 1 0 0 0 0],37.941771983303774,1
[1 1 0 1 1 0 1 1 0 0],33.790390400247155,1
[0 0 0 1 1 1 0 0 0 0],0.0,0
[1 1 1 1 0 1 1 0 1 0],32.33298520802884,1
[0 1 1 0 0 1 1 1 1 0],42.67460799176112,1
[0 0 1 0 0 0 0 1 1 0],0.0,0
[1 0 0 1 0 1 0 1 1 0],40.3885005192765,1
[0 1 0 0 1 0 1 0 0 0],0.0,0
[1 0 0 1 0 0 0 0 1 1],0.0,0
[0 1 1 0 1 0 0 0 1 0],45.293693386482644,1
[0 0 1 0 1 0 1 0 0 1],51.367453546727724,1
[0 0 1 0 0 0 1 0 1 0],0.0,0
[1 0 0 0 0 0 0 1 1 0],0.0,0
[1 1 1 0 1 1 0 0 1 0],42.392994159388,1
[1 0 0 0 0 1 1 0 1 0],0.0,0
[0 0 1 1 0 1 0 0 1 1],0.0,0
[0 1 0 0 1 1 0 1 1 0],46.1920432423146,1
[0 0 0 1 1 1 1 1 1 1],36.18633103162058,1
[0 1 0 1 0 0 1 1 1 1],34.01754773173013,1
[1 0 0 1 1 1 1 0 0 1],37.370216989315985,1
[0 0 1 1 0 1 1 0 0 0],0.0,0
[0 1 1 0 0 0 0 0 0 0],0.0,0
[0 0 0 0 0 0 1 1 1 0],0.0,0
[0 1 1 1 0 1 1 1 1 0],32.32363265680945,1
[0 1 1 1 1 0 1 0 1 1],31.3180394743041,1
[0 0 0 1 0 0 0 0 1 0],0.0,0
[0 0 1 1 0 0 0 1 0 0],0.0,0
[0 1 1 0 1 0 0 0 0 0],47.78172276686932,1
[1 1 1 1 0 1 1 1 1 1],31.151350122567028,1
[0 1 0 1 1 0 1 0 1 1],37.265805137216546,1
[1 1 0 1 0 1 1 1 0 0],37.18725562334723,1
[1 0 1 0 0 1 1 0 0 0],0.0,0
[0 0 0 1 0 1 0 1 1 1],0.0,0
[0 1 0 0 0 1 1 0 1 0],0.0,0
[1 1 0 0 0 0 1 0 1 1],0.0,0
[0 1 1 1 1 1 1 0 1 1],31.04314863564831,1
[1 0 1 0 0 1 1 1 1 0],46.61848904321486,1
[0 0 1 0 0 0 0 0 1 1],0.0,0
[1 1 1 1 1 1 0 1 1 1],31.81628287059767,1
[1 0 0 1 1 1 0 0 1 1],38.788472614565165,1
[0 0 1 1 0 1 0 1 1 0],38.39937176722436,1
[0 1 0 0 1 1 1 0 0 0],89.92437566843749,1
[1 1 1 1 1 1 0 1 1 0],31.941932382126065,1
[0 0 1 0 1 1 0 1 0 1],50.156255541685525,1
[0 0 1 1 1 1 1 0 0 1],34.618521679260084,1
[0 1 1 1 0 0 0 1 0 0],38.591699266467714,1
[0 1 0 1 0 1 1 0 0 0],0.0,0
