Scenarios,Run,Objective Value,scenario_variance,Runtime
81,1,5320283796041.764,1.415929703078485e+21,3478.0157995224
81,2,5304752126703.78,1.0401280012797135e+21,3419.2165517807007
81,3,5359697630960.198,2.387719453582649e+21,3343.9476301670074
81,4,5321193428437.021,1.2082505074752453e+21,3288.0496423244476
81,5,5334563699591.53,1.6217085108075412e+21,3382.6481692790985
81,6,5323022787239.566,1.9378553135828964e+21,3050.3007180690765
81,7,5328994538551.819,2.0448585341495246e+21,3222.2496399879456
81,8,5349247846999.106,1.6496282081783647e+21,3086.395932197571
81,9,5336939227981.06,1.6505955092796452e+21,3505.5693559646606
81,10,5342820928094.3125,1.4807848397120872e+21,3285.2785868644714
