Scenarios,Run,Objective Value,scenario_variance,Runtime
3,1,5563506786925.017,2.3569559217666943e+21,125.73381972312927
3,2,5223780094905.196,3.001495641993908e+21,127.14824867248535
3,3,5237977682894.054,4.7461549032517304e+20,127.13371992111206
3,4,5234217528011.037,8.203310961544734e+20,127.11994767189026
3,5,5576076143504.632,6.352376963745896e+21,126.13328576087952
3,6,5243803860841.371,5.2152540302907625e+20,124.31344318389893
3,7,5321184469328.587,1.2389244583159278e+21,121.7114930152893
3,8,5497455760524.768,2.8271101882834003e+21,126.00451755523682
3,9,5419921374523.674,3.2499852605754814e+21,123.40321183204651
3,10,5154779414325.167,3.455326914805181e+20,122.51437759399414
