Scenarios,Run,Objective Value,scenario_variance,Runtime
1,1,5143440642352.822,0.0,50.55904769897461
1,2,5173792204152.672,0.0,47.62028622627258
1,3,5143165203675.204,0.0,50.04849410057068
1,4,5106211241274.556,0.0,51.656862020492554
1,5,5163265579009.265,0.0,49.7206346988678
1,6,5208446034533.305,0.0,50.80291247367859
1,7,5165710728961.758,0.0,49.134353160858154
1,8,5477394845938.407,0.0,50.54168438911438
1,9,5293233090070.024,0.0,50.570775508880615
1,10,5070764416803.74,0.0,48.80768060684204
