seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
78,5,3,6,4,10,2,0,0.0,40.12437157260185
78,10,6,12,8,10,2,0,0.0,38.78804424397296
84,5,3,6,4,10,2,0,1.9539836131871103e-14,19.320796902146586
84,10,6,12,8,10,2,0,1.576604750378326,21.377501612907306
100,5,3,6,4,10,65,6,2.33852399530762,4.820645620414334
100,10,6,12,8,10,2,0,0.6291462331662442,29.075066620649675
12,5,3,6,4,10,2,0,0.6933094894888687,28.671848265003486
12,10,6,12,8,10,2,0,0.0,3.141314845093261
99,5,3,6,4,10,2,0,0.0,3.355400344329623
99,10,6,12,8,10,2,0,0.563442356528329,19.7439071825876
