seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
7,5,3,6,4,2,0,0.0,3.9836238399939883
7,10,6,12,8,2,0,1.6056676720600789,2.336047664516852
7,20,12,24,16,2,0,0.019368033083428986,28.152193910809174
7,40,24,48,32,2,0,0.0,100.01884410798361
7,80,48,96,64,2,0,0.011390015951351428,99.99387241033878
80,5,3,6,4,2,0,0.9550973985611663,53.81349213822561
80,10,6,12,8,2,0,0.4314220026038876,8.053929511503167
80,20,12,24,16,2,0,0.21286864753112875,97.52372112029781
80,40,24,48,32,2,0,0.43344429728971207,100.01888077664935
80,80,48,96,64,2,0,0.0,99.99390005194469
78,5,3,6,4,2,0,0.0,37.896596420577325
78,10,6,12,8,2,0,2.108143322027455,99.15941468852361
78,20,12,24,16,9,3,0.15272790463338506,11.80387784554644
78,40,24,48,32,2,0,0.007536330410001636,100.01784415359454
78,80,48,96,64,2,0,0.2804913482508986,99.99354531673276
15,5,3,6,4,129,7,1.3408259696458007,11.907247034006744
15,10,6,12,8,2,0,0.0,16.19481870584344
15,20,12,24,16,2,0,0.40313874223457896,100.05736404130798
15,40,24,48,32,2,0,2.1366557838117673e-14,100.0176157145694
15,80,48,96,64,2,0,0.09726225049341197,99.99382150391529
55,5,3,6,4,2,0,0.0,16.996855192972017
55,10,6,12,8,2,0,0.0,5.34373538374814
55,20,12,24,16,2,0,0.0,100.04499084589912
55,40,24,48,32,2,0,0.12362268675228257,100.01640998729758
55,80,48,96,64,2,0,0.02608531357633571,99.99377026308626
54,5,3,6,4,2,0,1.549970407861233,3.1839520654348736
54,10,6,12,8,2,0,0.0,7.753502378327217
54,20,12,24,16,2,0,1.2797732100534538,100.04875251737089
54,40,24,48,32,2,0,0.0005308058419881004,100.02010000969202
54,80,48,96,64,2,0,0.2468221290249415,99.99357028364375
4,5,3,6,4,257,8,1.7413720388534033,8.002093019152781
4,10,6,12,8,2,0,0.0,32.13292784980628
4,20,12,24,16,2,0,0.0,92.48986525796056
4,40,24,48,32,2,0,0.4742514724821473,100.01861676191474
4,80,48,96,64,2,0,0.19593759615211637,99.99364214049123
92,5,3,6,4,2,0,0.0,27.489317310009675
92,10,6,12,8,2,0,2.0139264858132315e-14,33.01600962545295
92,20,12,24,16,2,0,0.03889084900200622,100.05528190716552
92,40,24,48,32,2,0,2.0787413164861798e-14,100.01931619821866
92,80,48,96,64,2,0,0.16763095750874,99.99361724478636
30,5,3,6,4,2,0,0.0,46.11458905449772
30,10,6,12,8,2,0,0.747662908731165,34.27584559321322
30,20,12,24,16,2,0,0.5332057373223681,100.06173678474897
30,40,24,48,32,2,0,0.9586599097303756,100.0190183425507
30,80,48,96,64,2,0,0.10183446566103287,99.9931850483266
31,5,3,6,4,2,0,2.3257310472275536,21.24461767944317
