n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
5,3,6,4,16385,14,0.6431160853108058,1.2803503092880741
10,6,12,8,16385,14,1.7779749280080897,0.5133720532420785
20,12,24,16,129,7,0.515785718894828,1.8081549002655966
40,24,48,32,17,4,1.8146862501875904,1.0393485183391071
