,optimality_gap,optimality_gap,prediction_gap,prediction_gap,iterations,iterations,final_samples,final_samples
,mean,std,mean,std,mean,std,mean,std
n_I,,,,,,,,
5,0.9306,1.0523,20.0124,11.2582,0.4333,1.6955,11.5333,46.705
10,0.2768,0.5659,10.2986,7.1262,0.0,0.0,2.0,0.0
40,0.1888,0.2604,100.0171,0.0011,0.0,0.0,2.0,0.0
