seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
53,5,3,6,4,10,2,0,0.0,47.62306954308376
53,10,6,12,8,10,2,0,0.7894220987385128,25.223274320217342
53,40,24,48,32,10,2,0,0.13604753054788093,100.01655037770942
75,5,3,6,4,10,2,0,0.0,6.719682165069416
75,10,6,12,8,10,2,0,0.0,4.952696517299211
75,40,24,48,32,10,2,0,0.29887627085556984,100.01640492781179
60,5,3,6,4,10,2,0,2.1070937950621444e-14,9.192683768268251
60,10,6,12,8,10,2,0,0.3122367233591077,38.155350387131854
60,40,24,48,32,10,2,0,0.0,100.01779953974872
54,5,3,6,4,10,2,0,2.0846204637051753,3.7229867775929257
54,10,6,12,8,10,2,0,0.0,23.00736504241269
54,40,24,48,32,10,2,0,0.0006814686246999751,100.01648386627176
28,5,3,6,4,10,2,0,1.5760327600977804,31.334400866148073
28,10,6,12,8,10,2,0,0.42263988443102857,0.24417689275736637
28,40,24,48,32,10,2,0,0.000150027086397675,100.01864878790892
35,5,3,6,4,10,2,0,0.4592446799615125,26.58721148668764
35,10,6,12,8,10,2,0,1.0460727797329494,3.7993097687595005
35,40,24,48,32,10,2,0,0.0,100.01541219286283
39,5,3,6,4,10,2,0,2.6940755992356245,34.49200189299956
39,10,6,12,8,10,2,0,0.0,23.430133279346737
39,40,24,48,32,10,2,0,0.7429874351149269,100.01637901247469
78,5,3,6,4,10,2,0,0.0,40.12437157260185
78,10,6,12,8,10,2,0,0.0,38.78804424397296
78,40,24,48,32,10,2,0,0.00468135296504611,100.01700168499433
68,5,3,6,4,10,2,0,0.0,3.693313594097762
68,10,6,12,8,10,2,0,1.9734510165481112,99.97189396226275
68,40,24,48,32,10,2,0,0.7492407149211145,100.0182612216581
73,5,3,6,4,10,2,0,0.0,9.394685488685251
73,10,6,12,8,10,2,0,0.26224374601946765,53.353403833517966
73,40,24,48,32,10,2,0,0.07812463708584666,100.0172873667245
47,5,3,6,4,10,2,0,2.2018961987520225e-14,8.554153141691009
47,10,6,12,8,10,2,0,0.3734273364574383,6.694622069328098
