seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
94,5,3,6,4,2,0,0.17187048073502173,49.860346752710235
94,10,6,12,8,2,0,0.6249714822752548,99.99819082742528
94,20,12,24,16,2,0,0.4657643041893279,99.99862813838327
94,40,24,48,32,2,0,0.16049636516189647,100.02144649742024
94,80,48,96,64,2,0,1.4676548695805358,99.99585599270685
63,5,3,6,4,2,0,2.673963907540959,40.4077236959963
63,10,6,12,8,2,0,0.41006257409832964,81.69181546952173
63,20,12,24,16,2,0,1.5784280769529158,99.99798655303832
63,40,24,48,32,2,0,0.48774001542002987,100.02276025255878
63,80,48,96,64,2,0,1.8343425078434383,99.99609433219541
48,5,3,6,4,2,0,3.061745483041914,23.273950175512574
48,10,6,12,8,2,0,2.398112775579496,80.54117406313573
48,20,12,24,16,2,0,1.6789647337010782,99.99768463674602
48,40,24,48,32,2,0,1.70487602121016,100.0228929384504
48,80,48,96,64,2,0,0.9664759779398646,99.99601361220304
52,5,3,6,4,17,4,4.782146674881286,3.8364275012993514
52,10,6,12,8,2,0,2.103924356103881e-14,70.38506648690431
52,20,12,24,16,2,0,2.602553141065019,99.99549134210926
52,40,24,48,32,2,0,3.361124750093832,100.02388163534476
52,80,48,96,64,2,0,1.1668411962193115,99.99599266522729
20,5,3,6,4,2,0,0.0,35.47983009031692
20,10,6,12,8,2,0,0.0,98.06662399287072
20,20,12,24,16,2,0,0.0,99.99986383002879
20,40,24,48,32,2,0,0.39771646914621,100.02217840544392
20,80,48,96,64,2,0,0.8267554988136796,99.99631423043765
67,5,3,6,4,2,0,0.26094052705509707,31.6555247033255
67,10,6,12,8,2,0,0.06389738408912532,99.99826276338561
67,20,12,24,16,2,0,1.1189540743075772,99.99676703057415
67,40,24,48,32,2,0,1.1035266120842624,100.02271298505067
67,80,48,96,64,2,0,0.3042613420452654,99.99573292551645
39,5,3,6,4,2,0,0.0,53.3846262397674
39,10,6,12,8,2,0,1.0973259890327696,99.9982382664916
39,20,12,24,16,2,0,0.20328197342844423,99.99569327463982
39,40,24,48,32,2,0,0.512913624480499,100.02334828571084
39,80,48,96,64,2,0,0.60053518719167,99.99596074792235
55,5,3,6,4,2,0,0.1240128226637344,25.30731626231931
55,10,6,12,8,2,0,0.450589061730367,69.73285634225228
55,20,12,24,16,2,0,0.008607637565752654,99.99753816864254
55,40,24,48,32,2,0,3.0798062640783646,100.02171127310406
55,80,48,96,64,2,0,0.6936071805100418,99.99589061928418
53,5,3,6,4,2,0,1.8076139839529802e-14,42.06825899351841
53,10,6,12,8,2,0,1.4832102883265275,93.64911151755847
53,20,12,24,16,2,0,2.7488181722234586,99.99821853732797
53,40,24,48,32,2,0,0.3097466553869321,100.02157492182286
53,80,48,96,64,2,0,0.4719242610640546,99.99624984401892
3,5,3,6,4,2,0,1.915945713987156e-14,13.60823578214051
3,10,6,12,8,2,0,1.7062390813462065,77.31486136441525
3,20,12,24,16,2,0,2.1608473531738997e-14,99.99928412083845
3,40,24,48,32,2,0,0.3669247311291768,100.0210699442829
