,optimality_gap,optimality_gap,prediction_gap,prediction_gap,iterations,iterations,final_samples,final_samples
,mean,std,mean,std,mean,std,mean,std
n_I,,,,,,,,
5,0.9182,1.2357,15.8781,13.7374,0.9333,2.4904,30.6667,102.7925
10,0.586,0.7495,29.9165,25.5587,0.5667,2.1605,27.5333,102.8201
40,0.2367,0.2823,100.0171,0.0013,0.0,0.0,2.0,0.0
