seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
74,5,3,6,4,2,0,2.3455831735845894e-14,19.863061483061127
74,10,6,12,8,2,0,1.9046778596325513,5.656174532625741
74,20,12,24,16,2,0,0.08149504557613588,62.055066077152595
74,40,24,48,32,2,0,0.10881006123449603,100.01693769656244
74,80,48,96,64,2,0,0.10242449318027003,99.99345088741698
98,5,3,6,4,2,0,0.0,23.068927767881842
98,10,6,12,8,2,0,3.208080229494914,4.621101943761582
98,20,12,24,16,2,0,0.06196503163160451,24.41834001512761
98,40,24,48,32,2,0,0.17569807074830937,100.01697309988351
98,80,48,96,64,2,0,0.13251371334272913,99.99343151621439
22,5,3,6,4,2,0,0.0,14.715880357583325
22,10,6,12,8,2,0,0.0,35.3603596081792
22,20,12,24,16,2,0,0.25055083040553094,100.04964043244777
22,40,24,48,32,2,0,0.22962610129471078,100.01751353207828
22,80,48,96,64,2,0,0.1436588064558314,99.993436490705
79,5,3,6,4,2,0,0.46066485522450246,76.28831753784047
79,10,6,12,8,2,0,0.5434625047972107,6.081731555908797
79,20,12,24,16,2,0,0.8108827455671233,100.06920518231983
79,40,24,48,32,2,0,0.323598584919022,100.01682920470378
79,80,48,96,64,2,0,0.47209270826059313,99.99388270965441
83,5,3,6,4,2,0,1.913235607904671,16.239211543464577
83,10,6,12,8,2,0,0.0,80.65995675717905
83,20,12,24,16,2,0,0.0,59.99856288800181
83,40,24,48,32,2,0,0.004252715336063546,100.01757269212865
83,80,48,96,64,2,0,0.5585074343018714,99.99369921613282
5,5,3,6,4,2,0,0.36763625119709376,18.00213184406966
5,10,6,12,8,2,0,0.018053223547559068,13.538160309416291
5,20,12,24,16,2,0,0.224936977986469,97.22273884148944
5,40,24,48,32,2,0,0.04321863777871577,100.0165191826997
5,80,48,96,64,2,0,0.1704704216131329,99.99353015225184
40,5,3,6,4,2,0,0.0,8.03804596271071
40,10,6,12,8,2,0,0.0,3.7703220964036075
40,20,12,24,16,2,0,0.7620159520438765,100.05970509998366
40,40,24,48,32,2,0,0.05394960233455168,100.0180659307646
40,80,48,96,64,2,0,0.11235580807865848,99.99344580412597
