seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
83,5,3,6,4,10,2,0,0.0,39.25847410222114
83,10,6,12,8,10,2,0,0.0,7.538179181948047
83,20,12,24,16,10,2,0,0.0,87.18537937904527
83,40,24,48,32,10,2,0,0.06022111420150854,100.0172328977405
83,80,48,96,64,10,2,0,0.42813314652800766,99.99311009056801
45,5,3,6,4,10,2,0,1.7296618005191264,16.74733041871933
45,10,6,12,8,10,2,0,0.0,7.299658334305674
45,20,12,24,16,10,2,0,0.004497284208777245,98.85706270965254
45,40,24,48,32,10,2,0,0.2827687129554,100.01750446635317
45,80,48,96,64,10,2,0,0.07152952556650294,99.99339157497033
47,5,3,6,4,10,2,0,0.0,19.677597814406276
47,10,6,12,8,10,2,0,0.2936697551301369,17.176290505672096
47,20,12,24,16,10,2,0,0.1045812161027422,40.02344582158003
47,40,24,48,32,10,2,0,0.16568143045868258,100.01792250989145
47,80,48,96,64,10,2,0,0.22402804618707867,99.99394581685212
62,5,3,6,4,10,2,0,0.0,15.23773253197913
62,10,6,12,8,10,2,0,2.0680689058921828e-14,1.1008141751451057
62,20,12,24,16,10,2,0,0.1201645319908142,63.440560906546814
62,40,24,48,32,10,2,0,0.04330322778880849,100.01788167953707
62,80,48,96,64,10,2,0,0.23517308048626182,99.99318701321127
92,5,3,6,4,10,2,0,2.011642143296758e-14,1.5876080440307063
92,10,6,12,8,10,2,0,0.0,4.482244678934038
92,20,12,24,16,10,2,0,0.08653860533547905,88.3655134291
92,40,24,48,32,10,2,0,0.022198122954255165,100.01909321075655
92,80,48,96,64,10,2,0,0.13476232906275093,99.99397509982236
91,5,3,6,4,10,2,0,0.0,10.525090260245975
91,10,6,12,8,10,2,0,0.0,9.970133296258991
91,20,12,24,16,10,2,0,1.6263637786336556,37.000011126796046
91,40,24,48,32,10,2,0,0.04475434455546928,100.01719249548853
91,80,48,96,64,10,2,0,0.03269931304263429,99.99419614648242
4,5,3,6,4,10,33,5,2.9910294168561604,2.4409923771020723
4,10,6,12,8,10,2,0,0.0,13.548529550754939
4,20,12,24,16,10,2,0,0.0,91.36560404931248
4,40,24,48,32,10,2,0,0.38939932610174566,100.01672920559663
4,80,48,96,64,10,2,0,0.07089541390342396,99.99390389513127
59,5,3,6,4,10,2,0,1.3853213536951543,12.658240532802933
59,10,6,12,8,10,2,0,0.0,5.3397621690027774
59,20,12,24,16,10,2,0,1.1317915028908276,97.15785129177283
59,40,24,48,32,10,2,0,0.06460651618583935,100.01550545466431
59,80,48,96,64,10,2,0,0.16098820585047147,99.99431591613337
51,5,3,6,4,10,2,0,0.6083311267794468,22.556688503772367
51,10,6,12,8,10,2,0,4.213389298408393e-14,20.766972715355777
51,20,12,24,16,10,2,0,0.008862155840520873,96.20722864624007
51,40,24,48,32,10,2,0,0.12412615375110597,100.01708752038343
51,80,48,96,64,10,2,0,0.030188307284667478,99.99352542906031
70,5,3,6,4,10,2,0,1.0014918159911794,36.58167931362629
70,10,6,12,8,10,2,0,0.0,12.469026546445683
70,20,12,24,16,10,2,0,0.05160024348324029,92.06931163384964
70,40,24,48,32,10,2,0,0.22152469438200556,100.01764011781651
70,80,48,96,64,10,2,0,0.09062416118992102,99.99360015673008
79,5,3,6,4,10,257,8,6.8862436367747835,3.282710034299958
79,10,6,12,8,10,2,0,0.35181983805215267,4.235454892472961
79,20,12,24,16,10,2,0,0.0,76.6767253859269
79,40,24,48,32,10,2,0,0.46891881474240904,100.01634577778655
79,80,48,96,64,10,2,0,0.4766712310474868,99.99357530426232
52,5,3,6,4,10,2,0,0.22315664703985216,10.561357468823998
52,10,6,12,8,10,2,0,0.0,15.940908756551881
52,20,12,24,16,10,2,0,0.3932807623167435,52.913986133555234
52,40,24,48,32,10,2,0,0.8867009973312597,100.01696597375367
52,80,48,96,64,10,2,0,0.24311314343941479,99.99330219840654
11,5,3,6,4,10,2,0,0.0,30.939030080834385
11,10,6,12,8,10,2,0,0.025265260040831326,10.278054597598903
11,20,12,24,16,10,2,0,0.2010355757199755,54.74938776477405
11,40,24,48,32,10,2,0,0.023478457954269373,100.01831035726019
11,80,48,96,64,10,2,0,4.334435591446276e-05,99.9934624504305
77,5,3,6,4,10,2,0,0.0,24.65162368171329
77,10,6,12,8,10,2,0,0.0,5.483304469638712
77,20,12,24,16,10,2,0,0.0,100.0605498602113
77,40,24,48,32,10,2,0,2.1546948663167123e-14,100.01893797982378
77,80,48,96,64,10,2,0,0.2633145698351213,99.99372374923782
53,5,3,6,4,10,2,0,0.0,35.73226943425881
53,10,6,12,8,10,2,0,0.9805151583486987,5.011489617777854
53,20,12,24,16,10,2,0,1.1907662653803048,67.95745465506825
53,40,24,48,32,10,2,0,0.14985376929288746,100.01642252025609
53,80,48,96,64,10,2,0,0.28863488866620746,99.99355811181746
85,5,3,6,4,10,2,0,0.0,21.56368454246202
85,10,6,12,8,10,2,0,0.0,14.604319985598485
85,20,12,24,16,10,2,0,1.93030919602394,69.33189168698085
85,40,24,48,32,10,2,0,0.18821793487116764,100.01888697710888
85,80,48,96,64,10,2,0,0.3934130451177245,99.99392034026073
84,5,3,6,4,10,2,0,0.0,17.14058692914359
84,10,6,12,8,10,2,0,0.573146736200787,0.43837981623473393
84,20,12,24,16,10,2,0,0.0012637780199849316,84.69353304929513
84,40,24,48,32,10,2,0,0.47465402983180394,100.01848537139463
84,80,48,96,64,10,2,0,0.038757596543695365,99.9938651016495
39,5,3,6,4,10,2,0,2.489709653039538,24.214883993929558
39,10,6,12,8,10,2,0,0.0,18.25229696288233
39,20,12,24,16,10,2,0,0.0,91.78306053249923
39,40,24,48,32,10,2,0,0.5314859403426219,100.01910650117574
39,80,48,96,64,10,2,0,0.36288568470095206,99.99389084040433
10,5,3,6,4,10,2,0,0.0,12.633452443953534
10,10,6,12,8,10,2,0,1.42646380893646,0.14600339151531924
10,20,12,24,16,10,2,0,0.0,70.02037938755345
10,40,24,48,32,10,2,0,0.23894252287442866,100.01696858018371
10,80,48,96,64,10,2,0,0.018764474607410625,99.9940010856553
14,5,3,6,4,10,2,0,1.0805606968172083,11.05914177641432
14,10,6,12,8,10,2,0,1.527263228553188,9.55669576225149
14,20,12,24,16,10,2,0,0.5501400395902982,87.50729690053818
14,40,24,48,32,10,2,0,0.0,100.01739716674732
14,80,48,96,64,10,2,0,0.14304172714383132,99.99422453944419
88,5,3,6,4,10,2,0,1.8703493363947966e-14,18.086751753495793
88,10,6,12,8,10,2,0,0.3739293381057775,7.795493546382694
88,20,12,24,16,10,2,0,1.1410427217202528,77.68248581560304
