n_samples,n_I,optimaility_gap,prediction_gap
513,5,0.3295019468640782,1.411310351971686
257,10,0.0,0.9174806244118394
1025,20,1.053766179597553,1.6816914562014496
8193,40,1.464942658904426,0.0028662631577183037
