seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
78,5,3,6,4,513,9,2.5595989006900295e-14,0.9974388547927503
78,10,6,12,8,4097,12,0.37591926703762246,0.7382137044245586
78,20,12,24,16,513,9,0.0,0.9237471028601776
78,40,24,48,32,16385,14,0.06230814644186274,0.9720746201811712
54,5,3,6,4,513,9,0.2647078911379877,0.23931492233286322
54,10,6,12,8,257,8,0.09047050922532361,1.9193860635699482
54,20,12,24,16,1025,10,0.024414097677283687,0.8401627152128529
54,40,24,48,32,16385,14,0.2546759901424396,0.8895673673193599
6,5,3,6,4,4097,12,0.0052640890264266,0.5834261418376537
6,10,6,12,8,17,4,0.26183353476666515,0.7808780527420756
6,20,12,24,16,513,9,0.0,1.50304465962998
6,40,24,48,32,8193,13,0.03804845065381735,1.2293031310163558
46,5,3,6,4,1025,10,0.04684297486353117,1.5476582141563178
46,10,6,12,8,513,9,0.5186561279904378,1.706433017115434
46,20,12,24,16,513,9,0.521889214091508,0.07362704517950254
46,40,24,48,32,16385,14,0.19137240651617363,1.5793892601507926
57,5,3,6,4,513,9,0.14181672287675348,0.2386558414180227
57,10,6,12,8,33,5,0.6558858596968898,1.3998495383931613
57,20,12,24,16,129,7,0.7854616600335441,1.4715237321557848
57,40,24,48,32,16385,14,0.42644599162692776,0.18701937642297778
86,5,3,6,4,513,9,0.0,0.7985930204406025
86,10,6,12,8,33,5,0.2118835874578841,0.3260126994791343
86,20,12,24,16,1025,10,0.0,1.782943138178266
86,40,24,48,32,8193,13,0.11178945389399914,0.10039065287271855
62,5,3,6,4,1025,10,0.5219825387604758,1.6376690658782285
62,10,6,12,8,129,7,1.2386679454503098,0.4285615382007727
62,20,12,24,16,513,9,1.3451576177190507,0.5644034631799668
62,40,24,48,32,16385,14,0.06921681220845496,0.8465482709368654
32,5,3,6,4,513,9,0.29948801115458495,0.09338032448384014
32,10,6,12,8,513,9,2.2614767804284743e-14,0.010136288271027088
32,20,12,24,16,33,5,0.8878459264259694,1.5121472287316566
32,40,24,48,32,4097,12,1.0057412202112033,0.6322387747655052
15,5,3,6,4,2049,11,0.8430732592555605,0.5130096691054244
15,10,6,12,8,17,4,1.1083190757104935,1.4197900989938326
15,20,12,24,16,65,6,1.7091306690327217,0.8398585475066552
15,40,24,48,32,4097,12,1.9557349925997873,0.872411755184552
24,5,3,6,4,2049,11,0.0,0.4621427631053008
24,10,6,12,8,33,5,1.3214283650125231,0.41770473162278676
24,20,12,24,16,513,9,2.118140386846062e-14,1.8156627829587169
24,40,24,48,32,8193,13,0.36429921577695223,0.6846870033889961
