Unnamed:_1	Unnamed:_2	Unnamed:_3	Unnamed:_4	Unnamed:_5
France	Coalexisting	3	1	0.7499999999999988
Germany	Coal	3	1	0.7499999999999988
Denmark	Coal	3	1	0.7499999999999988
France	Coal	3	1	0.7499999999999988
Germany	CoalCCSadv	3	1	0.8000000000000006
Denmark	CoalCCSadv	3	1	0.8000000000000006
France	CoalCCSadv	3	1	0.8000000000000006
Germany	Gasexisting	3	1	0.8000000000000006
Denmark	Gasexisting	3	1	0.8000000000000006
France	Gasexisting	3	1	0.8000000000000006
Germany	GasOCGT	3	1	0.8499999999999984
Denmark	GasOCGT	3	1	0.8499999999999984
France	GasOCGT	3	1	0.8499999999999984
Germany	GasCCGT	3	1	0.8499999999999984
Denmark	GasCCGT	3	1	0.8499999999999984
France	GasCCGT	3	1	0.8499999999999984
Germany	GasCCSadv	3	1	0.8499999999999984
Denmark	GasCCSadv	3	1	0.8499999999999984
France	GasCCSadv	3	1	0.8499999999999984
Germany	Oilexisting	3	1	0.8499999999999984
Denmark	Oilexisting	3	1	0.8499999999999984
France	Oilexisting	3	1	0.8499999999999984
Germany	Bioexisting	3	1	0.8000000000000006
Denmark	Bioexisting	3	1	0.8000000000000006
France	Bioexisting	3	1	0.8000000000000006
Germany	Bio10cofiring	3	1	0.8000000000000006
Denmark	Bio10cofiring	3	1	0.8000000000000006
France	Bio10cofiring	3	1	0.8000000000000006
Germany	Nuclear	3	1	0.7499999999999988
France	Nuclear	3	1	0.7499999999999988
France	Wave	3	1	0.33000000000000046
Germany	Geo	3	1	0.8000000000000006
France	Geo	3	1	0.8000000000000006
Germany	Hydroregulated	3	1	1.0
France	Hydroregulated	3	1	1.0
Germany	Hydrorun-of-the-river	3	1	0.54396075696
Denmark	Hydrorun-of-the-river	3	1	0.35452000000000006
France	Hydrorun-of-the-river	3	1	0.6153268496999998
Germany	Bio	3	1	0.8000000000000006
France	Bio	3	1	0.8000000000000006
Germany	Windonshore	3	1	0.24261700000000005
Denmark	Windonshore	3	1	0.28351799999999994
France	Windonshore	3	1	0.3154309999999999
Germany	Windoffshore	3	1	0.3918780000000001
Denmark	Windoffshore	3	1	0.39485499999999996
France	Windoffshore	3	1	0.5090969999999999
Germany	Solar	3	1	0.09094000000000001
Denmark	Solar	3	1	0.05399000000000001
France	Solar	3	1	0.10146000000000001
Germany	Bio10cofiringCCS	3	1	0.8000000000000006
Denmark	Bio10cofiringCCS	3	1	0.8000000000000006
