Unnamed:_1	Unnamed:_2	Unnamed:_3
1	1	136270.8082346463
1	2	136989.47069729018
1	3	137807.08256840773
1	4	138329.54288114168
1	5	138980.49892656496
1	6	139423.8152234051
1	7	139409.6431403065
1	8	138913.6790380981
1	9	138573.33502832975
1	10	138205.73764942834
1	11	138038.1079414583
1	12	138048.9046172812
1	13	112030.98395515089
1	14	112884.1751609551
1	15	112992.14551828211
1	16	112789.00614346808
1	17	112578.3142045019
1	18	112018.46558053009
1	19	111292.64682265368
1	20	110759.67078445565
1	21	110879.55729842612
1	22	110811.21182465392
1	23	110627.90329798705
1	24	110643.44884989849
1	25	108616.85459899217
1	26	108522.9788478032
1	27	108526.08625450806
1	28	108394.53173179332
1	29	107829.3665623623
1	30	107513.13076281945
1	31	107613.75375165355
1	32	107494.4349463672
1	33	107191.85910731487
1	34	107264.77770901435
1	35	107747.2117398273
1	36	108414.95397772362
1	37	127111.61942092681
1	38	126968.40144080814
1	39	126565.82822877556
1	40	126332.45118206026
1	41	126177.22113133794
1	42	126183.89653468675
1	43	126309.04512686605
1	44	126422.42453011921
1	45	126643.00908056863
1	46	127120.24307068028
1	47	128032.44186250032
1	48	128728.79578641558
1	49	159897.43005778073
1	50	162344.58911722634
1	51	162098.4900168578
1	52	159287.18987101183
1	53	157559.67661328457
1	54	156212.57496910347
1	55	154056.0196817254
1	56	152830.9174458788
1	57	154071.26086064623
1	58	159866.0495895669
1	59	167692.66728744755
1	60	174763.76718472288
1	61	177409.4248546455
1	62	175589.56645190812
1	63	171473.59020841116
1	64	167464.05605388232
1	65	164331.5647426768
1	66	159957.68270990517
1	67	155464.5378444697
1	68	152735.34528748228
1	69	152887.672048666
1	70	156161.69397248083
1	71	158216.83616511704
1	72	158224.80315696428
1	73	158029.67105961745
1	74	162475.59055381376
1	75	163982.15707328403
1	76	163373.51980521728
1	77	162052.1910857556
1	78	161406.54655992278
1	79	161382.43858145244
1	80	162871.3038814153
1	81	164448.73765640974
1	82	164978.1005289799
1	83	167932.495568025
1	84	174770.9793786973
1	85	178137.66189647766
1	86	175080.23496927548
1	87	168669.45846884514
1	88	163337.38082018058
1	89	160178.99484533272
1	90	155855.8736148837
1	91	152526.64949297998
1	92	151195.80520826453
1	93	149153.48953995082
1	94	147029.7805657437
1	95	147309.89102336834
1	96	151669.99995360238
2	1	195724.61091911286
2	2	196858.43050103338
2	3	197662.28170930536
2	4	198065.0577031201
2	5	197953.89805142724
2	6	197756.30820893517
2	7	197049.68671180937
2	8	196200.5666904037
2	9	195331.365036647
2	10	193795.5584439297
2	11	192831.09356931056
2	12	193074.68949534703
2	13	160835.96247666064
2	14	160031.48064975507
2	15	158782.01121398227
2	16	157438.93573925993
2	17	156171.2474944291
2	18	154730.60859595338
2	19	153774.96093999816
2	20	153594.72004314227
2	21	154146.39486697008
2	22	155235.72510184647
2	23	156375.63435378272
2	24	157416.30526986188
2	25	156925.3995504501
2	26	156007.60065491573
2	27	154761.82890569116
2	28	153484.50862974187
2	29	152436.9352536154
2	30	151415.49801261062
2	31	150651.06673569314
2	32	150329.690371304
2	33	150798.2746438584
2	34	151143.73250690996
2	35	151747.7619786496
2	36	152412.4909861693
2	37	179229.48168654295
2	38	179592.1019724897
2	39	180206.27273479974
2	40	180843.3249111863
2	41	181285.03443836374
2	42	181810.1524010196
2	43	182570.08909299207
2	44	182537.68214484167
2	45	181879.45325648526
2	46	181723.18620428463
2	47	181865.72032634946
2	48	181241.67534871105
2	49	228982.8610287681
2	50	228624.5595429743
2	51	226469.43712294742
2	52	221499.06059060813
2	53	217897.33560220108
2	54	215124.52712234165
2	55	211904.14484181936
2	56	210395.72100858495
2	57	213103.14835617167
2	58	223237.15003908917
2	59	236501.0891490706
2	60	247407.65662109735
2	61	250892.0595974876
2	62	248821.57793009112
2	63	244396.59139837007
2	64	239881.41514761822
2	65	235496.09501850617
2	66	229405.3590046846
2	67	223496.24357009976
2	68	219873.7992273399
2	69	220605.85963812252
2	70	226986.83621017815
2	71	230492.92849583688
2	72	228816.17192798542
2	73	226973.912585767
2	74	230314.91582793242
2	75	231210.35462963683
2	76	229738.24658498087
2	77	226982.46462296776
2	78	225234.57393008546
2	79	224718.1996808762
2	80	226437.26652741927
2	81	228778.23624413062
2	82	230576.38777123473
2	83	236784.8451997371
2	84	247753.6826958638
2	85	252233.84757455942
2	86	247689.26171383754
2	87	239660.8153103772
2	88	233339.3870892513
2	89	228738.67088063492
2	90	222195.72938311577
2	91	217537.86834392106
2	92	215342.35019820696
2	93	212701.08760063525
2	94	211492.8841551438
2	95	213058.8961726904
2	96	218933.01768145512
3	1	231972.62204227486
3	2	231643.00017396666
3	3	231218.93765184382
3	4	230186.83544350346
3	5	228611.43957004926
3	6	227030.33820643715
3	7	225409.41698611836
3	8	223775.86898438487
3	9	222439.43116369736
3	10	222104.01755046338
3	11	222697.8904683451
3	12	223163.09330262005
3	13	193671.3403195697
3	14	193984.62015252083
3	15	195349.24660594788
3	16	196245.24889757257
3	17	196206.85976205507
3	18	195109.02306376875
3	19	193819.2256025994
3	20	192338.6119140879
3	21	191348.3119975037
3	22	190223.74977416455
3	23	188990.181288964
3	24	187925.35788131546
3	25	190496.57466772603
3	26	190485.18254566012
3	27	190508.9132238272
3	28	190167.12055439912
3	29	189603.5115941279
3	30	188764.47566713474
3	31	188380.52947151393
3	32	187373.16774618847
3	33	186727.0102800776
3	34	185902.27263039077
3	35	184695.7520298464
3	36	183855.75267120468
3	37	215981.74191881722
3	38	215294.45657390726
3	39	216000.7324494513
3	40	216756.38816448196
3	41	217470.32388022367
3	42	217180.99625503583
3	43	216935.89821736712
3	44	217349.96606292154
3	45	217588.43718841867
3	46	217667.3772164336
3	47	216889.51969035692
3	48	215580.38257812962
3	49	268732.8361700697
3	50	271858.6065177993
3	51	270572.9424841343
3	52	265901.2912089141
3	53	262926.9672646636
3	54	260360.2614209139
3	55	256912.8322084352
3	56	254973.36021603993
3	57	257061.2715341623
3	58	266718.7816691034
3	59	279977.60712862527
3	60	291334.11478269857
3	61	294357.29764983075
3	62	290123.86678566015
3	63	283086.4091287809
3	64	276768.4158341618
3	65	271042.3848407997
3	66	263418.3141142793
3	67	256378.67588579486
3	68	252047.17567129582
3	69	252109.35138325734
3	70	257765.80862666256
3	71	261894.4222073572
3	72	264056.25467245496
3	73	263326.8700208175
3	74	271941.4749831238
3	75	274634.0522500494
3	76	273691.64210692263
3	77	271693.06739279855
3	78	270563.3860597589
3	79	270227.4634146309
3	80	272144.3168675288
3	81	274219.14821295836
3	82	274829.26447432366
3	83	279469.95133205596
3	84	291308.5648313644
3	85	296497.826512504
3	86	291124.1842000981
3	87	280123.5010155436
3	88	271030.6196055359
3	89	265227.8528518652
3	90	257425.34722989422
3	91	251426.55486857102
3	92	248446.1456655085
3	93	245020.01926220322
3	94	242048.34805461162
3	95	242827.70018144322
3	96	250993.27488951437
4	1	276539.4329325114
4	2	276068.25831479655
4	3	275195.16831066407
4	4	275081.06215672585
4	5	275251.101051706
4	6	275420.2644876874
4	7	275395.901753744
4	8	275152.28132305265
4	9	275236.3666870849
4	10	276093.8286545871
4	11	276620.53834175057
4	12	277301.119954521
4	13	231298.5464567593
4	14	232247.13756103793
4	15	233967.30152273664
4	16	234854.4418041164
4	17	235015.5122020853
4	18	235214.74778965893
4	19	235410.4915456637
4	20	234715.4483693068
4	21	233862.4467518817
4	22	233374.7055405522
4	23	233029.16496877727
4	24	231717.01438082504
4	25	224128.35568863287
4	26	224093.83986503587
4	27	224428.69076182853
4	28	224725.2284826762
4	29	224399.90798431623
4	30	224084.91563386828
4	31	223644.82620580445
4	32	222822.21247739764
4	33	221447.17601467072
4	34	219668.2567951043
4	35	217988.34768860845
4	36	217117.2955404991
4	37	250697.08778382489
4	38	250155.22805926684
4	39	249963.15047297566
4	40	250786.66608438248
4	41	250738.48940085567
4	42	249735.09797983154
4	43	248561.2277490513
4	44	247588.57553561815
4	45	246391.36587577985
4	46	245672.34078683992
4	47	245653.293771052
4	48	246206.8562629983
4	49	320301.2048429855
4	50	320880.387665709
4	51	318007.4709102537
4	52	311549.5870735362
4	53	306905.8307158834
4	54	303123.73391430656
4	55	298953.645508959
4	56	296796.6241664481
4	57	299893.8346472645
4	58	312668.1237560495
4	59	330571.3564846194
4	60	345336.5579429267
4	61	349307.3490547494
4	62	345102.5779920825
4	63	337991.1649169447
4	64	331275.59927349805
4	65	324648.5744743588
4	66	315681.787825258
4	67	307454.03746512684
4	68	302381.076480754
4	69	302991.9871548868
4	70	311032.76623582386
4	71	316110.68210219993
4	72	316809.81451725034
4	73	314611.57581019006
4	74	321258.79175005294
4	75	323019.18833256816
4	76	320993.61694422923
4	77	317570.443650226
4	78	315438.6159570389
4	79	314823.45644639403
4	80	317213.1268391657
4	81	320308.9689763159
4	82	322386.5289591787
4	83	330362.7705811321
4	84	345687.2566125739
4	85	351786.63544765423
4	86	345739.48828188935
4	87	334016.7643011581
4	88	324339.45651731454
4	89	317561.7913685705
4	90	308195.59163652285
4	91	301310.23604714574
4	92	297849.9677969583
4	93	294174.98345061194
4	94	292256.1321898168
4	95	293886.3329644264
4	96	302198.09971234424
5	1	292399.1668470403
5	2	293086.03224078007
5	3	293508.69800948433
5	4	293599.3886064283
5	5	294592.1218114634
5	6	296016.71522754
5	7	296319.89969184814
5	8	294754.80058470817
5	9	293893.7252976049
5	10	293128.90155303216
5	11	291324.5534023372
5	12	289361.81279133674
5	13	251532.14054887343
5	14	250477.32277833394
5	15	249382.56798405782
5	16	248512.59475118917
5	17	248567.18856167994
5	18	248870.37258784345
5	19	249128.36568763744
5	20	249600.17424215225
5	21	249720.22758304625
5	22	249741.5646107964
5	23	249692.0093712765
5	24	249038.9598337177
5	25	247470.78738458
5	26	247562.06322119565
5	27	247834.8629492507
5	28	248112.47791484074
5	29	247710.56861061638
5	30	246774.75066141316
5	31	245245.8505769687
5	32	243142.08909259774
5	33	241953.0616010974
5	34	242331.3597604911
5	35	242731.33088488402
5	36	242540.47987396334
5	37	280680.91387477505
5	38	282441.5941669452
5	39	283099.7050129248
5	40	282462.0756372507
5	41	281951.4335256613
5	42	280552.3684072378
5	43	279379.637308068
5	44	277886.77267152444
5	45	276794.40413957473
5	46	276575.4054632511
5	47	276779.5943212019
5	48	277639.85938341235
5	49	349257.3592241965
5	50	352823.6215431985
5	51	350394.7359545358
5	52	343646.3122300694
5	53	339670.8904608834
5	54	336326.3830683873
5	55	331696.77942157583
5	56	329818.99240957596
5	57	333708.80885523855
5	58	348380.3307802076
5	59	365607.3707528145
5	60	380092.38310332305
5	61	383994.3620768314
5	62	379460.29739073536
5	63	370883.7789937386
5	64	362744.4429895265
5	65	355370.5043424741
5	66	345985.1443687374
5	67	337176.9369790927
5	68	331928.2828405589
5	69	332615.1440871294
5	70	340810.8117613121
5	71	345570.2600727818
5	72	345905.39910953783
5	73	345481.10936721944
5	74	357519.21920364647
5	75	361213.5260781393
5	76	360390.0243142108
5	77	358102.00304123183
5	78	356471.5710104826
5	79	355486.3034832956
5	80	357398.7283767088
5	81	359217.13288503716
5	82	359579.65729387535
5	83	365218.19272992504
5	84	380848.07487964025
5	85	386975.11670977774
5	86	378413.4940851096
5	87	363687.1058346267
5	88	352293.6060357331
5	89	344201.48908939864
5	90	333375.1963635352
5	91	325439.95284115424
5	92	321141.4451724884
5	93	316455.85167238675
5	94	313003.050731512
5	95	315029.6934925158
5	96	328048.01991566754
6	1	331676.51333119103
6	2	330421.99201715854
6	3	327221.1072953317
6	4	324248.13155634346
6	5	321992.46830026177
6	6	319660.41459918465
6	7	317733.2026781857
6	8	319184.74218973913
6	9	321295.2906205342
6	10	322621.7681269701
6	11	324528.73913766164
6	12	326864.067759158
6	13	274556.92557431484
6	14	272771.743544287
6	15	270376.8898397611
6	16	267717.6199087707
6	17	265988.2769711986
6	18	264713.1320373005
6	19	264757.8507623612
6	20	265322.05621166935
6	21	266075.2121327954
6	22	266977.93216637074
6	23	268887.3590872383
6	24	271788.84167637065
6	25	263522.0629092314
6	26	263587.62032729347
6	27	263264.7414901693
6	28	263095.89722203324
6	29	263532.2485502498
6	30	263964.7164622704
6	31	264694.672291867
6	32	265784.8001043854
6	33	267289.49122956384
6	34	269088.898615804
6	35	269836.3162630769
6	36	269718.5687239812
6	37	297601.0191148282
6	38	298517.61309730436
6	39	300654.947880036
6	40	301687.87332196924
6	41	301959.5909998368
6	42	300500.7671349249
6	43	298014.2874926067
6	44	296394.6207219091
6	45	295511.78611148783
6	46	294190.44310169574
6	47	293899.3160661983
6	48	293789.2730373745
6	49	382704.97961847
6	50	382473.2885051838
6	51	378179.487291923
6	52	369916.956529137
6	53	364322.814525839
6	54	359791.03717847914
6	55	354642.30174930784
6	56	352475.5826255797
6	57	357294.1259535106
6	58	374625.94442111044
6	59	396353.70990252995
6	60	413036.0080093794
6	61	417261.7542069958
6	62	412555.9883410145
6	63	404669.08577750286
6	64	397018.1855531262
6	65	389115.06818532565
6	66	378879.44756575424
6	67	369608.2555926153
6	68	363975.35541403614
6	69	365368.0155327311
6	70	375837.29811361304
6	71	381509.01382295665
