i,v_i,xi_i,Q_i
1,"[169419.51248359046, 121913.59733150141, 3.1812405672590023, 3.4543697704603895, 55630.20648114806, 17178.266792260114, 56309.22364871331, 13861.07645467416, 1823.799501139872, 132.30757878750902, 2765.0, 2300.0]","[33.08699983263673, 11.054309162686659, 1.7543417606975198, 4.682380925056241, 8.56853194699422, 11.727553914318845, 2.609132654403812, 1.0907409070727416, -4.431789702760949, 4.511746999766284, 9.025736748526302, -0.8562914100344245, 0.5500122106746197, -5.601843332066858, -0.2788205027720768, 0.5243390389101351, -3.5151143866186327, -2.0991449550874077, 11.172507250109073, -4.483945420894062, -3.1305045921542147, 4.640305482616087, -4.626999830096387, 0.6635645477601635, 3.010664901992475, -3.426132013897015, -2.1549039610143175, 4.293948989309129, 2.2420324247346186, -0.11816900281239504, 4.395174779875925, 7.313110652959007, 2.7929901067237237, 4.142889149828824, -1.6175993646123517, 0.623320870139435, -1.0465080407502492, -0.8448097917901083, 2.636626678766183, 4.611791459255444, 0.044261257089324935, -0.9772815666947438, 2.6268667292705494, -1.995375365997415, -0.6334772865936606, -2.93818466067476, 1.3418812989898965, -0.9870988998476641, -0.19563368367023548, 1.084041384817136, -3.0146111277191756, 1.671798350997935, 0.5764940832929751, -2.6945623095724804, -0.0552923837621446, 1.2675388089923019, -0.39221869814154353, 2.5924153123496154, 0.7213263227783983, 2.0110502719358267, -1.2016162654718814, -0.7782097489933786, 2.306041112239855, -1.443727068538209, 0.9683517948805352, 1.176800609013524, -1.9148353811433108, 2.385850079485033, 1.6183976056176634, 2.2392196352298206, 0.4015468592497543, -0.8760947768447099, 1.1361714876720124]",195626735587.04547
1,"[169410.80524892823, 140202.8180415683, 3.177797822500592, 3.064500713173967, 55630.62069762969, 17178.052186641515, 56309.133800609365, 13861.076454735332, 13.49775112626386, 10648.030611247663, 2765.0, 2300.0]","[32.37943849133413, -7.616828786313962, -2.5535201067009083, 5.7280251919391825, 8.5502966014026, -2.1044456972773604, 4.650580983476521, 1.6295955906170287, -2.398839881112318, -0.18904772090712196, -15.179577714524887, 3.1598549814762054, -1.4696556215134615, -10.987427641322208, -6.620903468714133, 2.3688591728016952, 0.2271458506691656, -1.8219437165932997, 0.7573454842959398, -0.635159651472507, 6.66364091363921, -4.331074229657541, -5.322205713346899, -2.694040928813096, 3.3644075821371184, 2.1938732113718, 2.0524444992384034, -3.6620286971669898, 6.203449781556277, 1.2217844450661204, 3.1397875098432104, 2.2125610720730147, 5.973408266151616, -1.049307246522198, -0.763453977816337, 4.6296525213957604, 0.12154542648166639, -0.5260553524946312, -0.5996730575050352, 3.659525267371408, 3.3479587119094347, -1.504661331082263, 2.6846579622005913, 1.967295391777401, 5.192132475049822, -3.288536149932315, 1.3699622805014111, -1.9232973465275374, -1.4262039780612683, -0.3937879267895592, 1.192828281784512, -0.38680455491274746, -0.6089821705953531, -1.5335018136830196, -0.8744832736461917, 3.0471375787735266, 0.6919881602755619, -1.386147715390973, 0.0363475548796156, 0.6992503804523759, -2.1351437160832862, -1.1599540055106519, 0.9482317825342158, -0.4388639754098388, -0.689686675457797, 1.9878290738291204, -0.8196287630209819, 0.6741151207841061, -0.5009104219756363, 0.5060238820850911, 1.643349864688461, 2.783421174641923, -1.679002264606589]",192568184512.9063
1,"[169409.57660771342, 121913.59703189594, 3.3111606856218136, 3.7791121310331306, 55632.257814189616, 17178.091330139803, 56309.22364871361, 13861.129911203943, 13.49551837370917, 26.99095115231372, 2765.0, 2300.0]","[32.64730428037543, 2.173645857956086, 3.8100911816502077, -0.22549419474915103, 2.7802218830655168, 0.5878663128477506, -12.769555178658244, -1.152202517411143, 9.784838764926368, 7.19774057058268, 1.3502893906206717, -2.2469991211635976, -4.774790631295524, 13.747137094253551, -4.008741310833068, 0.5326942290070599, -8.541265578155809, 0.050121060638611735, -2.772299018764558, -3.4098370893937515, 1.6774332238804528, -2.9445240967751505, -0.6021035596851921, -4.821712173896322, 3.5941395823948414, -0.1534293797904159, -1.1519055724221288, -1.5923325265475508, 4.366016137087319, 0.21570848133873385, 0.8948945527396263, -1.1630728224661195, -4.068427464910613, -3.923689752700738, 1.9117859513771198, -1.4448397189709339, 0.22056304868725288, -2.8117832339024353, 0.8152257444297111, -2.5442055320065062, -0.3463277387057667, -0.8780698584902789, -3.9219228496999388, 0.5154264434532125, -0.0684637480938507, -2.330678284391652, 2.689415374667727, 0.844313771789772, 2.871866817769791, -1.4252475059260017, -0.07974774703533992, -0.8758306976311722, 1.07596503652251, 0.03700090316675745, 2.0751096838570073, 2.1551898771318405, 1.666538136748391, 0.02027880564203083, -1.9385461002479285, -1.4458316702806908, 0.5963329826676103, 1.3601258544086123, 0.1940762456333499, -2.004197623457364, -1.695562417218336, -0.8723091428973213, 0.346924320354353, -1.4832599092167953, 1.5522504124078016, 0.15399928075365107, -0.5856941261700892, 1.6266187053138628, -0.06722508274730533]",267438771016.36987
1,"[169392.01255234235, 110160.20766443895, 2.1522682542366964, 3.5918570580611267, 55630.75498368564, 17178.052186539862, 56309.14522685758, 13861.129910928032, 8.075749559628465, 72.06195177194085, 2765.0, 2300.0]","[32.35372192556159, -1.676186282679545, -0.4904102223220028, 0.9428111291733554, -9.565460725901259, 0.43822234622907313, -1.9921390996223816, 6.4059173002079355, -3.5057358502085787, -4.448033470304586, -5.402104460211575, 6.272582225261145, 4.5175757071858245, -7.570778884716281, -5.6265743645351955, -3.727282719836688, 2.888174563284585, 3.138938233838265, -6.954426493886385, 1.6479788378512277, 5.310644201727337, -1.3312170293988885, -1.1067468077966265, -2.1512588666607217, -2.1237396624287506, -2.978996303333983, -3.508076928725622, -0.9998789092094662, -2.2000394723534114, 2.0068690769195103, -4.335547233605681, 2.0036348424068557, -3.6278309711673624, 2.9775775560643036, 3.3041223412055203, 0.025764671811220344, 2.6030456351517524, -2.236655111913161, 4.967920527092685, -3.30759447875205, -3.143437084599568, -2.9284219358040944, -0.7517580876510129, -1.491489179257262, -2.2870314513485606, -2.5377362722091954, 3.3570165986288156, 1.178791383909451, -1.8962842946007903, 1.5595690788316918, -0.00043288354196523767, -2.350205939714549, -2.7266275278246113, -2.2362939575621015, -0.22792196402213843, 0.17618768243290583, 0.9928851865413744, 1.3634625885045477, 0.0926199062549472, 0.3805903965009661, 0.35728064860763886, -0.8880448776628487, 0.4382252017701934, -1.423259151415176, -1.8201453836780659, 2.085912722605056, 1.0618908544052803, -0.4943136826385355, 0.6574572157177229, -0.4469352379725082, -0.2820915432911671, 0.0340998848411536, 0.836930163670658]",278645628823.1001
1,"[169403.09746280886, 140202.8025030034, 3.083105008162049, 3.591860148065546, 55630.198102309485, 17178.052186811565, 56309.14581704085, 13861.107741551372, 8.068057350545072, 3647.598948846891, 2765.0, 2300.0]","[33.033672047089915, -10.14201745760587, -3.9304219405100205, 5.683602263782781, 6.87998005092049, -5.242317440892171, 6.85474449968354, -3.515732305265644, 1.6139086245372143, 4.962082698790061, -10.637021375696692, -6.00654716401146, 2.560615767075948, 0.6809929545669661, -1.6586970954645701, -6.998685755750699, -7.245126766871223, -4.571670305269683, -3.246894736765953, 0.6406119948671462, 1.2135009701129436, -4.191274445245846, 3.099537940723347, -2.612316398670027, 2.380524576585131, -1.4391948581526157, 3.334935904310049, 2.6976849199519872, -1.2148715785121575, -3.4303218254370984, -5.997853163249628, -1.1720329370905698, 3.1330838053873316, 2.617669026885733, 1.113419673929178, -0.3931711401362013, 2.4075699510830924, -1.1500906077194182, 0.6427733536739237, -0.0856000148878357, -2.0590653266253036, -0.2219227236565189, -2.0482952086489696, 1.3352985963952484, -2.0982539157753997, -0.32522949063155104, -0.9948833605658809, -0.4362294979101214, -0.9177602775115647, 0.6237967567814509, 1.1456270125207997, 2.6510066149240146, 0.21922190260468527, -0.6163084080194673, -0.5682339832138104, -1.9470910561822103, 1.2120658495441334, -1.2589479421430554, 0.2626809378065046, 0.04359884115027413, 2.8114950981645506, -0.1282196022306294, -0.15726297937874925, 0.8760149886108322, -0.8309759186830848, -0.08358883766706121, -1.872291860181265, -1.6733009640568333, 1.140481738822536, 1.3357571925393779, 0.7089010478922504, -0.30652531534746236, -0.8043449817845228]",209531932442.63596
1,"[169392.0123211607, 121169.17077609277, 3.0831016603031824, 3.4543728669753557, 55630.75498218693, 17178.228332485087, 56309.14522730853, 13861.09427716488, 14.421200981338231, 26.96976015871779, 2765.0, 2300.0]","[32.808864833862856, 2.900486473580415, -7.301282040009404, -5.792603880940022, -2.0147064830611887, -2.295908154501353, -8.901504176936749, 10.898471922009037, -3.990596632919052, -0.780163219583693, 1.2624585412831464, 10.868748894688744, 0.6019420285724003, -2.2279140108641142, -4.582046938079537, 0.5376920292441145, 2.6988185922916026, -2.2551893382151804, 3.2384210668498317, 3.108796435524217, -9.817735943575286, 3.9929258426900245, -2.7047020211605903, 1.994871647906756, 2.839344811564855, -1.148713931001227, -4.376654101917459, -1.943088291756828, 1.159156556029153, -4.518238984615732, -4.204591448647601, -4.970817402534772, 0.39546310264309126, -3.671278225227175, 0.28312793479300535, 0.14956951359606563, 3.682804145269432, 0.7184441730626033, -0.9110215191611591, 1.0076087238322788, -1.504573651854156, 0.917502737828659, -1.4215906503558253, 1.5001984704535851, 2.732054084366641, -0.836917925212806, -1.4734805425675637, -0.43029603558555873, 0.5978502201268475, -0.6942545009301451, -0.9747779938853307, 0.8729411459934376, -2.656835642438113, 0.7201776388168507, 1.8499837672185195, -2.574610968541119, -0.8887082763633458, -0.3288779393302766, -0.6520971552119635, 0.6691737720211371, 1.9927324766926757, 1.6693961181560324, -2.1935997242964116, 1.529603707649895, 0.9786709391825659, 0.6095893404609123, -0.2484360154822659, 0.0206199275008486, 1.113914364713328, 0.05166343071003737, 2.9715663728649426, 0.7263914755485981, -0.33271043750569207]",219688195480.36185
1,"[169419.51248359046, 121913.59733150141, 3.1812405672590023, 3.4543697704603895, 55630.20648114806, 17178.266792260114, 56309.22364871331, 13861.07645467416, 1823.799501139872, 132.30757878750902, 2765.0, 2300.0]","[33.06570132248439, -0.07967676272360534, -8.313994788180494, 7.039699660118291, 0.4254275677096668, 8.203970542257665, -2.03428590782348, 2.513161154249354, -4.782879207645094, -2.745341007518746, 7.247292866331842, 1.8312015315155694, 1.996688542459086, 2.360178156646766, 5.73207348679275, -3.4105363426814477, -0.01735360863934028, -0.3575336081410291, 0.6897356089601888, 5.90009454237655, -1.645123574954979, -0.0016190533474440916, -0.49270460923175885, -1.9029525935016132, 0.44788395167186407, 1.726698621327479, 7.567613473231132, 3.986175273245037, -1.0308222404161989, -4.379997118373755, -4.756950120959984, -3.052893380189405, 1.6671260676895843, 2.25139306666745, 2.7132177958986454, -3.314097643768779, 1.5851597976108467, -3.2180278982983097, 1.0054381645690065, 2.3798123094126464, -2.2605641571030946, 0.699338734598914, -1.763377542496651, -2.916071162155312, -1.8404172167677657, 1.3446098469062848, -1.7850374897888721, 0.007959906748386567, -1.5140989127545323, -1.591896465563297, -2.0483528546989622, -0.6375476703329213, -0.7322891075017367, 1.7697148903255224, 0.32096609951003163, 1.0059837510983247, 0.30977487508635326, -0.002283739475219533, -0.844483382275747, 0.8861889386770582, 0.012379723482431838, -0.9969565380445531, 0.6968228886697162, -1.0210131099364377, -0.026909171907815287, 0.4608746632956903, 1.8503599576637844, -0.9748036724986751, -0.3447143738702046, 1.784072120215703, 1.5441803396917722, -1.1368486750518927, -0.37042796962319346]",657348275673.2284
1,"[169388.31223522368, 129909.8638515024, 3.1812405685449763, 3.58545676506948, 55630.129305016, 17178.00494110844, 56309.145817041965, 13861.218170847402, 197.23085027886955, 10648.029952333742, 2765.0, 2300.0]","[33.090642511658004, 1.7471298592170728, 5.753309938096755, -5.013951619914278, -12.917829311577446, 10.305492763479862, -1.4686506390169685, 4.458309529990132, -4.006296446728907, -5.071239674003189, -2.3572373567218956, 4.70892549080731, 2.6991763422405426, 2.7672115774711132, -3.537076396992971, -3.538626709525573, 3.2553221315381764, 2.9061957457779943, -2.646374122942573, -0.35823935525754547, -0.6108029496670884, 8.126864982870124, 1.7536026962521165, -1.0475501632074986, -1.2168879295782578, 2.7740649726983087, -4.949836040658432, -2.377383937220425, -0.539061775611205, 1.6424911242115547, -1.532078149806351, -0.29697398166356764, 0.5529324700322428, 1.8509960268086125, 5.067901654525331, 0.9040670307949044, 1.569962582563877, -5.408254978906038, -3.4775643760163013, -1.1688932512011116, -0.3967330654335749, -0.02962168678824545, -0.2716063255380999, -2.0850164334701167, 1.2331843190576344, -0.8578051352614957, -0.03931571023253526, 0.45128751465046646, 1.6767499631352516, -3.2782906661005353, 2.373393811345853, 0.25335309191300326, -1.7904324315352562, 1.7088619180912317, 0.94019405784067, 1.6995847085497833, -0.23620145870865647, -0.5308249466584138, -0.5467887849356611, 1.2772059638175723, 1.1406573770548334, 0.11381493144020229, -1.7896322321513374, -0.5343231762697778, 0.21029661619456935, -0.9539398460316756, -0.8020120995403195, 0.1011633215408814, 1.9770356265915563, 0.8322132984209044, -0.5717353323769664, 1.095646070862059, 2.758083339326471]",222602538735.59296
1,"[169410.80524892823, 140202.8180415683, 3.177797822500592, 3.064500713173967, 55630.62069762969, 17178.052186641515, 56309.133800609365, 13861.076454735332, 13.49775112626386, 10648.030611247663, 2765.0, 2300.0]","[33.100291722759266, 13.259675259810235, 9.483629080166791, 11.14326452463045, 1.949699023992942, -6.005468867662526, -2.7519733008131513, -5.478179610176156, -6.9173284800693295, 0.3391642753602087, 4.092118566913648, -0.16626711570524058, 2.155146691169095, 3.6206359115539657, 1.449116718295194, 2.348817266322818, -2.6225352542599993, -6.786795440238615, 0.684287437596554, -3.9366758452864756, 3.931351201603164, -3.030042076291884, -0.9223256881017344, 1.8062974621238004, 1.6699994954395365, -1.5378165937996868, 3.81003109967691, -4.260942165445211, 1.0513885578979627, 0.22604980693669538, -0.911838117665006, 0.6308002039829594, 2.5782259763776034, 0.7863813087773689, -0.5824597579772112, -2.360687927083508, -3.4880151019124854, -4.726537947191435, -2.9538736134704506, 2.0419007028500746, 2.830393039811178, 2.337274682999412, 0.48375700254785453, 1.4399138636486322, 0.12714298662299317, 1.6507775793784056, 3.156223265054342, 2.287191867615703, 0.8064851840573036, -0.2916112229998975, -0.9823264763258134, 0.002704135017617895, 1.9022354774707297, 1.4681636766804589, 2.419821325797408, -0.9293159751936518, 2.121555349728366, 0.9596518006800523, -1.2314882838397851, -0.24498938012838012, 0.7946014039767436, 0.12969311312435614, 0.2242445395815855, -0.06858133507412814, 1.4465094948135406, -0.4708996816273431, 0.1851320762578808, -0.22339186491343652, -0.6881307513870332, -0.5579579204153008, -0.3391882615226582, 0.3089572136530263, 0.18548702518722468]",186240002108.82843
1,"[169388.31224186206, 129909.82364243055, 2.152268076012427, 3.5918608834627213, 55630.75498160902, 17178.09133021836, 56309.13637481561, 13861.107741601008, 1954.026959648991, 394.4584439201547, 2765.0, 2300.0]","[32.45243806622938, -11.093986288756287, -5.4404106459192505, 7.48677008965477, -4.246307759928532, -5.904511580247013, -2.264665851998079, 0.8133554673098129, -1.5794766943228584, 9.130552450851106, -3.3719863586374914, 8.711281045652589, -7.8454548452009565, 1.3925520456855456, 3.5753349649616744, 4.0516048946334555, 5.198170171917957, 4.310358948260724, 3.2047684118045603, -4.145741897318, -4.039035067202962, -5.966624179880409, -0.10687565687630125, 8.55377659877766, -2.746127298689472, 5.736848986740045, -0.9793840673387044, -3.799950458470875, -1.263127735035796, -0.18115434541807185, -1.1440910241464184, 1.0774654058661457, -1.6568689471612745, -0.7106691929493429, -3.4320665675595334, -2.7903328340048175, -0.30611551818232935, 0.5510640785402191, -1.262019098569473, 3.2058369944709613, 3.1035125219081925, 1.254238043043215, -1.9377393092619533, 0.8644098525995553, 0.32992753073092407, -0.25188729117094505, -1.355158566159467, -1.1275203590824785, -2.6446242704072582, -0.9240751114365675, 0.1108610205407385, -1.2050434351332233, 1.1126206998520334, -1.9825923098784233, -0.07503222158769167, -0.8337642386059715, 0.5962805749157181, 1.1523157789236527, 2.2528597930248857, -1.627494151866182, 0.5664856069384282, -2.3977404559782722, 2.0979932080721806, 0.025843184966533615, -1.114954189916905, -0.37876070737073386, -1.619076713426597, 2.052197837964714, 1.884045573771083, -0.2938230961962971, 1.2404245449725972, -0.49736432845714806, 1.453149602547679]",505773957318.3666
1,"[169427.114768673, 110160.2213923081, 3.1812405460772024, 3.9821170572632605, 55630.20648113418, 17178.266792259637, 56309.015475853674, 13861.076454673237, 5324.014989802505, 3647.5990093875425, 2765.0, 2300.0]","[33.38537327327196, 0.11831289143072432, 5.161283111423115, -6.462248841058485, 6.604449299835367, -5.110264953091296, -0.9561738310577574, -6.26174608754233, -7.424529174945637, 0.04181609430737443, -1.811568192565042, 0.71028257902064, -7.458343476869409, -2.4377007570433924, 0.5729512244237196, -2.330503220150924, -4.853252096695295, 0.6790377991660539, 1.186012631222174, -1.1458516824054525, 0.6033812399393492, -2.034813295915117, 0.2594576069581013, -1.1530305459521422, -1.3212616017558112, 3.7428496012861334, 2.024290030999027, -0.1619468630336007, 1.709556003498279, -2.2227271546630556, 0.4064037839718272, -2.066705327525952, -2.02437943918213, 1.8692775897052152, 1.4098348434547312, 1.3757393187826208, -3.4003219792267583, -1.069715243009853, -1.236749869286333, -3.311635314116195, -1.6251519903914171, 1.0926964867003415, -2.839920465620529, 0.22158704718764746, 2.574505781171656, -2.13435162176518, -2.840431078272626, -0.8814587179593933, -1.558083959366544, 1.7921159684040309, 0.24174216805277424, 0.9121937015636374, 1.104994657560074, -0.722432735083625, 1.3196017819730843, 1.884849628419088, -0.026084675498084593, 0.9199104694498839, 0.5787832174258655, -0.3663358341655706, 1.4248064388684498, -0.37419033937168633, 1.4941565089688156, -1.3461467805147673, -0.09946997641544836, -1.313907395788831, -0.5410515840499179, -0.8723017232043823, -0.6205802966888323, -0.15431154106866088, -0.11071096922812036, 1.1066775602202836, 0.8010271938806911]",395643860207.69214
1,"[169427.11491100982, 104073.43242877483, 4.018602431364833, 2.3385128364474332, 55630.75497509552, 17178.091329543473, 56309.13637345737, 13861.076454935483, 28.057961349751405, 26.997983805707253, 2765.0, 2300.0]","[32.91385315911029, 0.9220986805391902, 4.145005873733689, 5.44279151206977, -1.5326950092189044, -4.386733528204225, 11.616191049272635, -4.560221963501325, -5.812836548855711, 4.2718019724377685, 3.7536047130097887, 11.736786004592734, 1.3691789083208343, 5.957454787215807, -3.1756352833364603, -0.4375442964071077, 2.9106941186357855, 1.3320290429507669, 3.346458505692692, 2.372515612694244, -0.8106869503681111, 3.6793127504488736, 5.058676142809891, -0.579039374716225, 5.74796816998583, 0.9353375844461385, -3.3525995174580383, -0.5801668110659769, -3.9414623078124174, -2.267490350073677, -0.5666958084453603, -1.488886907161666, -0.80924934806883, 2.3626186662699635, -0.015800275666189547, 1.6694217897028794, 1.048458725251415, 5.629665021510647, -3.0634303288557576, -0.6827149234644816, 2.126751836995387, -0.31637602882680965, -0.226263303018426, -0.15141506030469878, 3.1966893678879376, 1.0342813609090609, 1.1329170256676528, 4.0984936136856955, 0.3150595754707349, 0.8468733981044679, -2.3570019615261213, 1.1601370343395587, 0.20655092987104107, 1.7596589694144764, -0.6425782750305453, -0.21371459750088467, -1.5068102362356603, -2.055318173802664, -1.0143130677028793, 1.5294996421912306, 1.6106876981608678, -1.816165913611549, -0.9489855948716512, 2.4783366274304264, 0.4120831283093338, 0.43788114377567017, -2.1769726944853516, -0.10288566969843733, 0.7494933724017409, -0.8609061213273785, 1.0372505424713154, -1.846159499297824, 2.5652772838788285]",190746713506.8699
1,"[169388.31229110694, 87115.89821983827, 3.0967119121372244, 3.982121629209584, 55632.257811973854, 17178.014670233166, 56309.04378176601, 13861.094276079546, 1954.0086947379891, 56.06343920918787, 2765.0, 2300.0]","[33.98691801896847, 1.290912621746195, 9.736643985797784, -4.149906685663536, 0.723328826974633, -1.5692276664135503, -7.5076067029322635, -3.864622704657221, -4.175816627604367, 6.562575628391396, 2.6110863873219317, -2.1820080121358156, 4.752766045020156, 4.080909721168803, 0.9064353313362197, 1.3892692594448262, -1.0799623332883903, 2.0010437502978755, -3.9595067680845366, -3.7769256741307724, 2.50210203271824, 2.8608189201999847, 2.74965677492475, 1.5308426040997194, -0.3078476860015125, -3.0484627241934965, 2.963088800596625, -2.7396398971389995, -0.7656047421874395, -2.9384775222844604, 3.0890563752742826, 0.884187028197685, -3.5036721417918204, 1.4912553470171384, -2.9813514870872284, 0.5049772908202125, -2.4945485352300354, -5.075295357577806, 3.5272641117266996, 0.8812302106839703, -6.461727731772363, -0.7713228146540735, -1.2609225855155484, -0.5101445206147792, 0.5617004397992961, -0.2555031301711972, -4.378086385343729, -1.0746786912002604, -1.9455139532746222, 1.7249168601993445, 0.839134042055681, 1.7609269466893875, 0.5117137240391934, -2.259161378176414, -0.7062250071618459, 0.1700970374385057, -1.1074693853107305, 0.9291321242789019, -0.4912658009027059, 0.5458134929830282, -0.8214942862032211, 0.6336919171674521, 1.2183199216215905, 0.014159268428656963, -0.6110628990478562, 0.9366803634880551, 2.9598897585522366, 1.169303518675366, 0.7554995673750531, 1.2076000577344468, 0.7952839035606115, 1.2344427102488928, -0.5556645643856248]",184347930700.34976
1,"[169409.57660771342, 121913.59703189594, 3.3111606856218136, 3.7791121310331306, 55632.257814189616, 17178.091330139803, 56309.22364871361, 13861.129911203943, 13.49551837370917, 26.99095115231372, 2765.0, 2300.0]","[33.71153270613316, 5.958630199061976, 1.976033495474966, -6.973211988379496, 9.358149184592802, -4.366723645143584, 2.688568730455115, -7.026450221232367, -9.873495406322439, -6.034165513658683, 2.7859799007123107, 7.70892775301528, 4.384322255452056, -2.9674203171585996, -0.4581016943538182, 3.879554823546159, -2.3710524072143793, -0.9992893990688024, -1.8083495297160121, -3.201526706321557, 0.5131306769877568, 3.855232832294186, 0.8468440286512754, 2.5988925461662116, 5.3557756005914445, -4.847475601146526, 2.696839997784606, -5.331406674467283, -2.576131111029734, -0.27803184728805763, 0.2726294539029372, -1.039555650471459, -4.401728305326571, 1.7671791050487082, 1.1211684374762763, 3.0703970026111898, -1.779675915481306, -2.6875899171595377, -2.5029355516164915, 4.048098907687583, 2.610605142155865, 1.3838187413923748, -0.911353692245317, 0.8694842139100483, 0.6521574099954927, -2.534679642349337, -1.9977835702130455, 0.4050990725671877, -0.7755277219736504, 1.547090527094505, -0.16434932083005463, 0.37518766031832074, 1.7480790574388825, 0.44953262797021876, 2.3153445468228053, 1.7280231808815685, 0.5944070924368107, -1.6376604237349255, -0.5260450515638457, -0.37679569295396076, 1.4133586726570575, 1.4715791401504645, -1.693515326396689, 0.14335446004098315, -0.5739969130207482, 0.8800917971556578, -0.39099780378013793, -0.09266684294686091, 0.19707329652276268, 1.056209314073809, 0.31757464072243635, -1.3310047495695287, 0.8531624467348046]",224245467331.26892
1,"[169403.67596736562, 121913.58078311173, 2.1522692131848524, 3.591860096726211, 55630.2550836222, 17178.02683214509, 56309.136374867194, 13861.09427610774, 28.037887782425805, 10648.031007090733, 2765.0, 2300.0]","[32.804179029704294, -6.289729253232127, 13.956227605709902, 7.8015620815934055, 8.0334088862127, 0.12711218210545064, -8.048775978489674, 4.847608558796617, 3.787948827973609, -3.9327890361503424, 2.3268103788676804, 3.3929583943158006, -4.95471827513187, -6.052009374365897, -0.49273766493910864, 8.194775889289954, -2.975117908113166, 0.9528532542808517, 2.779528349754335, -4.1105115769605165, -5.548784618091883, 0.8858203679750224, -0.18280548471859479, 1.2971407526049978, -3.7089431026202306, -1.1300457427838133, -2.4809594462173816, 1.2975266947209023, -1.7999141548165136, 0.19877061191096554, -1.8242348104826687, 0.16476174128985735, -0.6547722531499607, -2.8314664766340973, 1.6674686739091138, -3.881916332396766, -0.9048538383547424, -1.0102553439554975, 0.0861128236277005, -1.761098870190307, -0.45442544485602104, 0.785868005404155, -0.29907560143518125, 1.2146304888519768, 1.1605651596515758, 0.3544123242229442, -1.2937872719252026, -0.5971822494581087, 3.07301287882022, 1.1392841899096524, -0.5415559735839583, 0.49923708625266805, 1.080902135559343, -1.9900480431826961, 2.1768254038775674, -1.387801195602252, 1.16671026982183, 0.5083600268345059, 0.02795150780557193, 1.0022486277227758, -0.6558298997407224, 0.5653248799264399, -0.7230609489511105, -0.14048801834698427, -0.8274398709734654, -1.8628903815725388, 0.7698164875376468, -0.8641515579482447, 0.6167118370066215, 0.3163448439797446, -0.6776823954366311, 0.07393904856551914, 2.0807038590729596]",604690520533.9257
1,"[169427.11491100982, 104073.43242877483, 4.018602431364833, 2.3385128364474332, 55630.75497509552, 17178.091329543473, 56309.13637345737, 13861.076454935483, 28.057961349751405, 26.997983805707253, 2765.0, 2300.0]","[32.76347235116124, -6.585089812426088, -10.381683930053422, 1.2923020311458429, 5.255547626961077, 7.7594099372547864, -8.546229096693777, 3.340134970821308, -9.266672110498643, -6.53024521039544, 4.940470586509919, 4.464373872430185, 1.7469032772568298, 5.716758415361811, -2.655561137183904, 3.4028804474970618, 0.5923487036454514, -0.674922778389845, 5.864775212197102, 0.6738656163658844, 1.6689254908227509, 4.881277764278836, 3.6835594673055025, 1.829934955301601, 0.4224293185649922, 3.053404599290087, 2.39409335433813, -1.7759042116950003, -0.8941836168424563, 0.6153662025460497, -1.1843153571780491, 1.7647526503747568, -0.35607703544153696, 1.068850770288657, 4.354810848220305, 0.7291866102035035, -3.653964497066657, -0.9117056868581084, 0.7540307917859763, 1.6574683603802403, 0.02972883945095583, 0.15931933004326365, -2.7949121996483375, 0.4083183883677019, 0.7803637425251075, -2.787374681180638, -0.5886897957670637, -0.5625281026705016, 0.4784231245444353, -1.412418273995064, -1.4598130041920125, 2.449880141969236, -3.448101239937897, 0.7968929625584488, -0.5985226517923565, 2.7447880434244962, -0.9460905317892316, -1.7805232547313663, -1.577268949367078, 2.0172894582884604, -0.46431227779332684, -1.8341111899092408, -1.0569442015307167, 0.2402721587170285, -0.8581012272154143, -0.9410572196898689, 0.3392556986381882, -1.0745796848753881, 2.11201151992611, 1.1310682143866408, 2.4651760133377896, -0.24486575625132936, 1.3814388540270919]",199880773710.92682
1,"[169392.0123890566, 129909.85105906682, 1.8694832089934341, 3.06450085520129, 55630.19810265037, 17178.01466689782, 56309.23494743033, 13861.107741627862, 66.15439298101015, 28.871388764395345, 2765.0, 2300.0]","[33.46796197107282, -5.243515189927422, -4.4997768886573075, -1.2277021894378102, 2.0093878536692853, 12.244462507926846, -8.785673598699178, -5.113057180847799, -4.464038171373136, -2.8601701195747893, -5.490375697170002, -3.712557556787838, 5.981507074873663, 2.6663625657904153, 5.116351104268275, 1.031284629010264, -0.009711097556344916, 3.653308772969396, 0.24206092769245233, -4.1032425590628145, -4.183562112175712, -4.69526859514427, -7.312488608414826, 1.1524067870391568, 0.6948446580953488, 4.136280383766152, -9.720186736980441, 3.497646855601747, 1.58223898888523, 2.3778456254091522, 1.142212421274185, -3.3993734772152773, -0.5379738691184078, -2.5239223137862843, 4.124909528935498, 1.1642177096272248, -1.981725362546891, 1.0279190497152677, 3.596147833620586, 0.765925863764262, 7.11987647206955, 3.8137876596942455, -2.3335165240054154, 2.476699565198097, 0.6480325232084252, -2.046042091265844, -3.720372719746211, 0.30423712399286884, 2.0786330587593134, 1.15607330789727, -0.772454884368156, -2.077076888935188, 1.2965318436905475, -0.7706359789913796, 2.671675103661397, -1.0814298503196764, 0.8217030912115395, -0.6249882399174704, -2.0099989115009405, 0.19707023292247533, -1.2876660143262002, 0.6689612770376937, 2.6122906565959516, -1.3514126820195325, 0.6950627646748484, -1.2966513749820205, -0.8225070482752977, -0.5827015433614665, -0.7669523178851854, -2.0759589977774375, 0.5367118161918268, 2.120139294599641, -0.06784335667112731]",197602500822.7365
