seed,num_samples,sampling(s),labeling(s)
1,1000,1233.7787,7401
2,1000,1172.3907,7585
3,1000,1212.7724,8895
4,1000,1291.1826,7178
5,1000,1269.5529,6723
6,1000,1217.5889,6817
7,1000,1245.5918,6690
8,1000,1176.0421,7072
9,1000,1233.0468,7060
10,1000,1187.1473,7463
1,5000,6214.4719,37044
2,5000,6537.4318,33381
3,5000,5973.8409,34895
4,5000,6310.1134,34588
5,5000,6125.5821,36102
6,5000,6489.2309,35050
7,5000,5998.4475,33891
8,5000,6255.9017,37115
9,5000,6078.1562,34230
10,5000,6241.9149,352123
