Country,Energy_Type,Period,Type,Value
France,GasOCGT,6,Generation,0.019157628916012262
France,GasOCGT,7,Generation,102.17820025758517
France,GasOCGT,8,Generation,0.01756504471689018
Germany,GasCCGT,1,Generation,169392.10868337622
Germany,GasCCGT,2,Generation,9694.911741772516
Germany,GasCCGT,3,Generation,7932.078921629246
Germany,GasCCGT,4,Generation,9988.481830097287
Germany,GasCCGT,5,Generation,493.56363607073956
Germany,GasCCGT,6,Generation,2444.2786063231083
Germany,GasCCGT,7,Generation,169436.44317097476
Germany,GasCCGT,8,Generation,9692.653228663568
Denmark,GasCCGT,1,Generation,13617.984978493188
Denmark,GasCCGT,2,Generation,5217.11582741222
Denmark,GasCCGT,3,Generation,9209.796532061211
Denmark,GasCCGT,4,Generation,12599.121142389073
Denmark,GasCCGT,5,Generation,9318.507084676186
Denmark,GasCCGT,6,Generation,9334.726338518103
Denmark,GasCCGT,7,Generation,10726.491697628519
Denmark,GasCCGT,8,Generation,4742.243609977489
France,GasCCGT,1,Generation,98073.64643303902
France,GasCCGT,2,Generation,3610.9688969751214
France,GasCCGT,3,Generation,2954.168867314905
France,GasCCGT,4,Generation,3720.065721330292
France,GasCCGT,5,Generation,183.73438749442442
France,GasCCGT,6,Generation,910.2467927914822
France,GasCCGT,7,Generation,141044.2377560608
France,GasCCGT,8,Generation,0.1492686918679713
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
France,GasCCSadv,7,Generation,0.0
France,GasCCSadv,8,Generation,0.0
Germany,Oilexisting,1,Generation,0.0
Germany,Oilexisting,2,Generation,0.0
Germany,Oilexisting,3,Generation,0.0
Germany,Oilexisting,4,Generation,0.0
Germany,Oilexisting,5,Generation,0.0
Germany,Oilexisting,6,Generation,0.0
Germany,Oilexisting,7,Generation,0.0
Germany,Oilexisting,8,Generation,0.0
Denmark,Oilexisting,1,Generation,0.0
Denmark,Oilexisting,2,Generation,0.0
Denmark,Oilexisting,3,Generation,0.0
Denmark,Oilexisting,4,Generation,0.0
Denmark,Oilexisting,5,Generation,0.0
Denmark,Oilexisting,6,Generation,0.0
Denmark,Oilexisting,7,Generation,0.0
Denmark,Oilexisting,8,Generation,0.0
France,Oilexisting,1,Generation,0.0
France,Oilexisting,2,Generation,0.0
France,Oilexisting,3,Generation,0.0
France,Oilexisting,4,Generation,0.0
France,Oilexisting,5,Generation,0.0
France,Oilexisting,6,Generation,0.0
France,Oilexisting,7,Generation,0.0
France,Oilexisting,8,Generation,0.0
Germany,Bioexisting,1,Generation,0.0
Germany,Bioexisting,2,Generation,0.0
Germany,Bioexisting,3,Generation,0.0
Germany,Bioexisting,4,Generation,0.0
Germany,Bioexisting,5,Generation,0.0
Germany,Bioexisting,6,Generation,0.0
Germany,Bioexisting,7,Generation,0.0
Germany,Bioexisting,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
France,Bioexisting,1,Generation,0.0
France,Bioexisting,2,Generation,0.0
France,Bioexisting,3,Generation,0.0
France,Bioexisting,4,Generation,0.0
France,Bioexisting,5,Generation,0.0
France,Bioexisting,6,Generation,0.0
France,Bioexisting,7,Generation,0.0
France,Bioexisting,8,Generation,0.0
Germany,Bio10cofiring,1,Generation,74871.40152949405
Germany,Bio10cofiring,2,Generation,125124.46051213499
Germany,Bio10cofiring,3,Generation,4.090482090170073
Germany,Bio10cofiring,4,Generation,0.00815007076349787
Germany,Bio10cofiring,5,Generation,0.018734624713231673
Germany,Bio10cofiring,6,Generation,0.041072157935417256
Germany,Bio10cofiring,7,Generation,0.00214878959938411
Germany,Bio10cofiring,8,Generation,0.0037245758505044546
Denmark,Bio10cofiring,1,Generation,14.267487857235515
Denmark,Bio10cofiring,2,Generation,0.6289014761013957
Denmark,Bio10cofiring,3,Generation,1.0527120060582589
Denmark,Bio10cofiring,4,Generation,1.7749717186283982
Denmark,Bio10cofiring,5,Generation,1.2008826053194517
Denmark,Bio10cofiring,6,Generation,0.491506985042821
Denmark,Bio10cofiring,7,Generation,1.5367775536197128
Denmark,Bio10cofiring,8,Generation,3.281888641057937
France,Bio10cofiring,1,Generation,72389.77573306608
France,Bio10cofiring,2,Generation,125265.98565543938
France,Bio10cofiring,3,Generation,0.3242805141275277
France,Bio10cofiring,4,Generation,0.13695898764445433
France,Bio10cofiring,5,Generation,0.05950648504079016
France,Bio10cofiring,6,Generation,0.1278320269262669
France,Bio10cofiring,7,Generation,0.01340918927681946
France,Bio10cofiring,8,Generation,0.10559626697884553
Germany,Nuclear,1,Generation,0.0
Germany,Nuclear,2,Generation,0.0
Germany,Nuclear,3,Generation,0.0
Germany,Nuclear,4,Generation,0.0
Germany,Nuclear,5,Generation,0.0
Germany,Nuclear,6,Generation,0.0
Germany,Nuclear,7,Generation,0.0
Germany,Nuclear,8,Generation,0.0
France,Nuclear,1,Generation,0.01925672899960773
France,Nuclear,2,Generation,0.10712048854983415
France,Nuclear,3,Generation,1.1922300022488244
France,Nuclear,4,Generation,0.009367582864868673
France,Nuclear,5,Generation,0.025884257284444545
France,Nuclear,6,Generation,0.27146635499275473
France,Nuclear,7,Generation,15.21323280671322
France,Nuclear,8,Generation,0.9489585782147669
France,Wave,1,Generation,0.012385330713470921
France,Wave,2,Generation,3.550648024684295e-05
France,Wave,3,Generation,2.6633096406823497e-05
France,Wave,4,Generation,0.0016542928030363335
France,Wave,5,Generation,2.8377533449511
France,Wave,6,Generation,191.69662797966998
France,Wave,7,Generation,2.2470028600008245
France,Wave,8,Generation,0.05441793847437461
Germany,Geo,1,Generation,0.004603351878913031
Germany,Geo,2,Generation,0.011982258924927386
Germany,Geo,3,Generation,0.0637392553543145
Germany,Geo,4,Generation,0.0005343159905987784
Germany,Geo,5,Generation,241.55272275355114
Germany,Geo,6,Generation,0.2522504351496833
Germany,Geo,7,Generation,0.027658348197214258
Germany,Geo,8,Generation,0.02818003303473835
France,Geo,1,Generation,2.8956471309696257
France,Geo,2,Generation,0.434586659447481
France,Geo,3,Generation,4.553716828155852
France,Geo,4,Generation,0.0257415361168273
France,Geo,5,Generation,35.40709316715808
France,Geo,6,Generation,30.035658122450986
France,Geo,7,Generation,7.556261389969938
France,Geo,8,Generation,0.027364928867836587
Germany,Hydroregulated,1,Generation,0.01975075325981379
Germany,Hydroregulated,2,Generation,0.0007038519980776803
Germany,Hydroregulated,3,Generation,0.003977399500552483
Germany,Hydroregulated,4,Generation,0.0012790112613513581
Germany,Hydroregulated,5,Generation,0.0038091837608151646
Germany,Hydroregulated,6,Generation,0.014711806208522901
Germany,Hydroregulated,7,Generation,0.01489418106716311
Germany,Hydroregulated,8,Generation,0.09352922985970845
France,Hydroregulated,1,Generation,0.013910913014115067
France,Hydroregulated,2,Generation,0.036720521198160765
France,Hydroregulated,3,Generation,0.002201879602114066
France,Hydroregulated,4,Generation,0.00043901899772282266
France,Hydroregulated,5,Generation,0.010485850313965591
France,Hydroregulated,6,Generation,0.07091617636181677
France,Hydroregulated,7,Generation,0.03482704419736599
France,Hydroregulated,8,Generation,0.04513737376425501
Germany,Hydrorun-of-the-river,1,Generation,0.09651401956625705
Germany,Hydrorun-of-the-river,2,Generation,0.004589081456905472
Germany,Hydrorun-of-the-river,3,Generation,431.4040354029822
Germany,Hydrorun-of-the-river,4,Generation,0.28209832409186575
Germany,Hydrorun-of-the-river,5,Generation,0.3043996628597704
Germany,Hydrorun-of-the-river,6,Generation,1.0962272545840337
Germany,Hydrorun-of-the-river,7,Generation,0.05540451913290551
Germany,Hydrorun-of-the-river,8,Generation,0.004831829939731746
Denmark,Hydrorun-of-the-river,1,Generation,2.516649455941433e-06
Denmark,Hydrorun-of-the-river,2,Generation,1.0218100434520534e-05
Denmark,Hydrorun-of-the-river,3,Generation,0.0012896424374238809
Denmark,Hydrorun-of-the-river,4,Generation,0.03404579422920639
Denmark,Hydrorun-of-the-river,5,Generation,0.008480627974625734
Denmark,Hydrorun-of-the-river,6,Generation,0.032654016396239126
Denmark,Hydrorun-of-the-river,7,Generation,0.006743978299845371
Denmark,Hydrorun-of-the-river,8,Generation,0.07904527421215328
France,Hydrorun-of-the-river,1,Generation,4687.542823436317
France,Hydrorun-of-the-river,2,Generation,0.6691869401343765
France,Hydrorun-of-the-river,3,Generation,0.30813190349398667
France,Hydrorun-of-the-river,4,Generation,0.005146848631732448
France,Hydrorun-of-the-river,5,Generation,0.0032219312000395153
France,Hydrorun-of-the-river,6,Generation,0.0034874162906941703
France,Hydrorun-of-the-river,7,Generation,0.003679338579408716
France,Hydrorun-of-the-river,8,Generation,0.0035178685897251072
Germany,Bio,1,Generation,6.19764663970843
Germany,Bio,2,Generation,0.02349784687976048
Germany,Bio,3,Generation,64881.44837503854
Germany,Bio,4,Generation,130731.3421967367
Germany,Bio,5,Generation,1460.3686221714954
Germany,Bio,6,Generation,1460.3464270018742
Germany,Bio,7,Generation,1460.280878135368
Germany,Bio,8,Generation,0.0061071057124206215
France,Bio,1,Generation,5.987073107898645
France,Bio,2,Generation,1.0079188015789025
France,Bio,3,Generation,52913.791283244704
France,Bio,4,Generation,50940.56839566433
France,Bio,5,Generation,0.3687591417203167
France,Bio,6,Generation,71613.41765172781
France,Bio,7,Generation,24520.686099088525
France,Bio,8,Generation,0.0069143105404668
Germany,Windonshore,1,Generation,0.33226572832791135
Germany,Windonshore,2,Generation,0.5653826009314438
Germany,Windonshore,3,Generation,0.38512451367637807
Germany,Windonshore,4,Generation,0.2035837045843909
Germany,Windonshore,5,Generation,51367.45859117093
Germany,Windonshore,6,Generation,27816.30152489176
Germany,Windonshore,7,Generation,27815.229255260034
Germany,Windonshore,8,Generation,0.5279843015890922
Denmark,Windonshore,1,Generation,0.02275763369470951
Denmark,Windonshore,2,Generation,0.018891659498986805
Denmark,Windonshore,3,Generation,0.48460721950162694
Denmark,Windonshore,4,Generation,0.005820014378991797
Denmark,Windonshore,5,Generation,11417.500487895708
Denmark,Windonshore,6,Generation,41257.91259361883
Denmark,Windonshore,7,Generation,2321.122364149533
Denmark,Windonshore,8,Generation,1.5351146329332188
France,Windonshore,1,Generation,0.009559562869326082
