seed,num_of_sce, runtime
19,5,505.411181
16,5,504.604453
13,5,528.997812
20,5,541.944868
12,5,585.415074
15,5,626.540111
11,5,661.085794
14,5,762.341579
18,5,779.051818
17,5,1011.204138
13,5,545.507173
16,5,569.117218
11,5,679.039385
15,5,698.795625
12,5,756.827798
14,5,846.116361
17,5,1078.846355
19,5,533.082561
20,5,587.015276
18,5,725.145384
