Unnamed:_1	Unnamed:_2	Unnamed:_3	Unnamed:_4
Austria	Windonshore	1	0.007799027777777777
BosniaH	Windonshore	1	0.03669111111111111
Belgium	Windonshore	1	0.009541944444444443
Bulgaria	Windonshore	1	0.03126388888888888
Switzerland	Windonshore	1	0.0178025
CzechR	Windonshore	1	0.007870555555555556
Germany	Windonshore	1	0.003980555555555557
Denmark	Windonshore	1	0.02064277777777777
Estonia	Windonshore	1	0.022310694444444442
Spain	Windonshore	1	0.02224111111111111
Finland	Windonshore	1	0.039367916666666655
France	Windonshore	1	0.017314722222222224
GreatBrit.	Windonshore	1	0.008752361111111112
Greece	Windonshore	1	0.028423333333333335
Croatia	Windonshore	1	0.03669111111111111
Hungary	Windonshore	1	0.00770375
Ireland	Windonshore	1	0.007309027777777777
Italy	Windonshore	1	0.014309166666666666
Lithuania	Windonshore	1	0.026695555555555563
Luxemb.	Windonshore	1	0.024505277777777775
Latvia	Windonshore	1	0.02509388888888889
Macedonia	Windonshore	1	0.0026566666666666666
Netherlands	Windonshore	1	0.0027804166666666667
Poland	Windonshore	1	0.015495972222222222
Portugal	Windonshore	1	0.021884166666666666
Romania	Windonshore	1	0.02244125
Serbia	Windonshore	1	0.0026566666666666666
Sweden	Windonshore	1	0.027737916666666664
Slovenia	Windonshore	1	0.03162916666666666
Slovakia	Windonshore	1	0.003763055555555555
Austria	Solar	1	0.14370138888888884
BosniaH	Solar	1	0.14917222222222218
Belgium	Solar	1	0.12047916666666664
Bulgaria	Solar	1	0.14775972222222206
Switzerland	Solar	1	0.14762638888888885
CzechR	Solar	1	0.13391527777777776
Germany	Solar	1	0.12242500000000003
Denmark	Solar	1	0.10396250000000003
Estonia	Solar	1	0.1084166666666667
Spain	Solar	1	0.16363055555555547
Finland	Solar	1	0.0875305555555556
France	Solar	1	0.14119722222222217
GreatBrit.	Solar	1	0.10860555555555557
Greece	Solar	1	0.154648611111111
Croatia	Solar	1	0.15015694444444452
Hungary	Solar	1	0.14002083333333332
Ireland	Solar	1	0.11567222222222241
Italy	Solar	1	0.15348472222222234
